,도시이름,날짜,요일한글,방문객한글,방문자수
0,군산시,20210114,목요일,외지인(b),42532.0
1,군산시,20210116,토요일,외지인(b),61894.0
2,군산시,20210115,금요일,외지인(b),46210.5
3,군산시,20210117,일요일,외지인(b),53840.5
4,군산시,20210121,목요일,외지인(b),44054.5
5,군산시,20210119,화요일,외지인(b),40771.5
6,군산시,20210118,월요일,외지인(b),33407.5
7,군산시,20210120,수요일,외지인(b),44303.0
8,군산시,20210122,금요일,외지인(b),47509.0
9,군산시,20210104,월요일,외지인(b),35308.0
10,군산시,20210105,화요일,외지인(b),35045.5
11,군산시,20210106,수요일,외지인(b),35798.0
12,군산시,20210107,목요일,외지인(b),23663.5
13,군산시,20210108,금요일,외지인(b),29925.0
14,군산시,20210109,토요일,외지인(b),41373.5
15,군산시,20210110,일요일,외지인(b),40355.0
16,군산시,20210111,월요일,외지인(b),36575.0
17,군산시,20210113,수요일,외지인(b),39364.5
18,군산시,20210112,화요일,외지인(b),35500.5
19,군산시,20210201,월요일,외지인(b),36837.5
20,군산시,20210203,수요일,외지인(b),37726.5
21,군산시,20210202,화요일,외지인(b),37124.5
22,군산시,20210205,금요일,외지인(b),44411.5
23,군산시,20210204,목요일,외지인(b),38762.5
24,군산시,20210206,토요일,외지인(b),62583.5
25,군산시,20210208,월요일,외지인(b),40967.5
26,군산시,20210207,일요일,외지인(b),52923.5
27,군산시,20210209,화요일,외지인(b),45391.5
28,군산시,20210210,수요일,외지인(b),58632.0
29,군산시,20210123,토요일,외지인(b),66164.0
30,군산시,20210124,일요일,외지인(b),66367.0
31,군산시,20210127,수요일,외지인(b),46802.0
32,군산시,20210126,화요일,외지인(b),44800.0
33,군산시,20210125,월요일,외지인(b),47936.0
34,군산시,20210129,금요일,외지인(b),46266.5
35,군산시,20210128,목요일,외지인(b),41622.0
36,군산시,20210131,일요일,외지인(b),63598.5
37,군산시,20210130,토요일,외지인(b),66416.0
38,군산시,20210103,일요일,외지인(b),50186.5
39,군산시,20210102,토요일,외지인(b),64025.5
40,군산시,20210101,금요일,외지인(b),59262.0
41,군산시,20210226,금요일,외지인(b),60511.5
42,군산시,20210225,목요일,외지인(b),50351.0
43,군산시,20210223,화요일,외지인(b),50673.0
44,군산시,20210222,월요일,외지인(b),50718.5
45,군산시,20210227,토요일,외지인(b),92774.5
46,군산시,20210407,수요일,외지인(b),42735.0
47,군산시,20210212,금요일,외지인(b),121313.5
48,군산시,20210301,월요일,외지인(b),59671.5
49,군산시,20210211,목요일,외지인(b),93324.0
50,군산시,20210228,일요일,외지인(b),103509.0
51,군산시,20210214,일요일,외지인(b),69370.0
52,군산시,20210213,토요일,외지인(b),114499.0
53,군산시,20210215,월요일,외지인(b),44740.5
54,군산시,20210218,목요일,외지인(b),42297.5
55,군산시,20210217,수요일,외지인(b),36512.0
56,군산시,20210220,토요일,외지인(b),72240.0
57,군산시,20210219,금요일,외지인(b),52066.0
58,군산시,20210216,화요일,외지인(b),42234.5
59,군산시,20210221,일요일,외지인(b),73178.0
60,군산시,20210224,수요일,외지인(b),52671.5
61,군산시,20210331,수요일,외지인(b),65597.0
62,군산시,20210401,목요일,외지인(b),44467.5
63,군산시,20210402,금요일,외지인(b),53494.0
64,군산시,20210403,토요일,외지인(b),68862.5
65,군산시,20210405,월요일,외지인(b),43431.5
66,군산시,20210404,일요일,외지인(b),61803.0
67,군산시,20210406,화요일,외지인(b),43550.5
68,군산시,20210408,목요일,외지인(b),44159.5
69,군산시,20210322,월요일,외지인(b),55611.5
70,군산시,20210321,일요일,외지인(b),74557.0
71,군산시,20210323,화요일,외지인(b),57151.5
72,군산시,20210325,목요일,외지인(b),62979.0
73,군산시,20210324,수요일,외지인(b),58271.5
74,군산시,20210327,토요일,외지인(b),76566.0
75,군산시,20210326,금요일,외지인(b),68659.5
76,군산시,20210328,일요일,외지인(b),71736.0
77,군산시,20210330,화요일,외지인(b),64015.0
78,군산시,20210329,월요일,외지인(b),61110.0
79,군산시,20210418,일요일,외지인(b),72481.5
80,군산시,20210417,토요일,외지인(b),78498.0
81,군산시,20210420,화요일,외지인(b),50365.0
82,군산시,20210419,월요일,외지인(b),48660.5
83,군산시,20210421,수요일,외지인(b),50886.5
84,군산시,20210423,금요일,외지인(b),58758.0
85,군산시,20210422,목요일,외지인(b),50715.0
86,군산시,20210425,일요일,외지인(b),82134.5
87,군산시,20210424,토요일,외지인(b),88662.0
88,군산시,20210427,화요일,외지인(b),50358.0
89,군산시,20210426,월요일,외지인(b),53060.0
90,군산시,20210409,금요일,외지인(b),53263.0
91,군산시,20210411,일요일,외지인(b),79173.5
92,군산시,20210410,토요일,외지인(b),85540.0
93,군산시,20210414,수요일,외지인(b),43568.0
94,군산시,20210412,월요일,외지인(b),39242.0
95,군산시,20210413,화요일,외지인(b),40180.0
96,군산시,20210416,금요일,외지인(b),53882.5
97,군산시,20210415,목요일,외지인(b),46739.0
98,군산시,20210311,목요일,외지인(b),56934.5
99,군산시,20210310,수요일,외지인(b),54540.5
100,군산시,20210312,금요일,외지인(b),55345.5
101,군산시,20210313,토요일,외지인(b),82078.5
102,군산시,20210314,일요일,외지인(b),75477.5
103,군산시,20210316,화요일,외지인(b),57613.5
104,군산시,20210315,월요일,외지인(b),55401.5
105,군산시,20210318,목요일,외지인(b),60018.0
106,군산시,20210317,수요일,외지인(b),57547.0
107,군산시,20210319,금요일,외지인(b),64666.0
108,군산시,20210320,토요일,외지인(b),75484.5
109,군산시,20210303,수요일,외지인(b),48947.5
110,군산시,20210302,화요일,외지인(b),46210.5
111,군산시,20210304,목요일,외지인(b),50263.5
112,군산시,20210306,토요일,외지인(b),73195.5
113,군산시,20210305,금요일,외지인(b),53480.0
114,군산시,20210307,일요일,외지인(b),69254.5
115,군산시,20210309,화요일,외지인(b),54575.5
116,군산시,20210308,월요일,외지인(b),52041.5
117,군산시,20210513,목요일,외지인(b),50022.0
118,군산시,20210514,금요일,외지인(b),59150.0
119,군산시,20210512,수요일,외지인(b),48349.0
120,군산시,20210511,화요일,외지인(b),44849.0
121,군산시,20210515,토요일,외지인(b),80958.5
122,군산시,20210516,일요일,외지인(b),64470.0
123,군산시,20210501,토요일,외지인(b),82680.5
124,군산시,20210430,금요일,외지인(b),61673.5
125,군산시,20210429,목요일,외지인(b),52545.5
126,군산시,20210428,수요일,외지인(b),51184.0
127,군산시,20210503,월요일,외지인(b),48300.0
128,군산시,20210502,일요일,외지인(b),77679.0
