,도시이름,날짜,요일한글,방문객한글,방문자수
0,김제시,20210116,토요일,외지인(b),30376.5
1,김제시,20210115,금요일,외지인(b),24584.0
2,김제시,20210114,목요일,외지인(b),22995.0
3,김제시,20210121,목요일,외지인(b),23068.5
4,김제시,20210118,월요일,외지인(b),17444.0
5,김제시,20210117,일요일,외지인(b),27849.5
6,김제시,20210119,화요일,외지인(b),21591.5
7,김제시,20210120,수요일,외지인(b),24125.5
8,김제시,20210122,금요일,외지인(b),24185.0
9,김제시,20210104,월요일,외지인(b),18893.0
10,김제시,20210105,화요일,외지인(b),19936.0
11,김제시,20210107,목요일,외지인(b),12477.5
12,김제시,20210106,수요일,외지인(b),19106.5
13,김제시,20210109,토요일,외지인(b),21031.5
14,김제시,20210108,금요일,외지인(b),15799.0
15,김제시,20210110,일요일,외지인(b),21189.0
16,김제시,20210112,화요일,외지인(b),19691.0
17,김제시,20210111,월요일,외지인(b),17965.5
18,김제시,20210113,수요일,외지인(b),21731.5
19,김제시,20210203,수요일,외지인(b),21766.5
20,김제시,20210202,화요일,외지인(b),21262.5
21,김제시,20210201,월요일,외지인(b),20153.0
22,김제시,20210205,금요일,외지인(b),25224.5
23,김제시,20210204,목요일,외지인(b),22554.0
24,김제시,20210206,토요일,외지인(b),32000.5
25,김제시,20210208,월요일,외지인(b),23737.0
26,김제시,20210207,일요일,외지인(b),31073.0
27,김제시,20210210,수요일,외지인(b),31409.0
28,김제시,20210209,화요일,외지인(b),25833.5
29,김제시,20210123,토요일,외지인(b),32791.5
30,김제시,20210125,월요일,외지인(b),25049.5
31,김제시,20210124,일요일,외지인(b),33344.5
32,김제시,20210126,화요일,외지인(b),21903.0
33,김제시,20210127,수요일,외지인(b),24430.0
34,김제시,20210128,목요일,외지인(b),21735.0
35,김제시,20210129,금요일,외지인(b),23170.0
36,김제시,20210131,일요일,외지인(b),32084.5
37,김제시,20210130,토요일,외지인(b),32431.0
38,김제시,20210102,토요일,외지인(b),25994.5
39,김제시,20210101,금요일,외지인(b),24405.5
40,김제시,20210103,일요일,외지인(b),22351.0
41,김제시,20210222,월요일,외지인(b),27797.0
42,김제시,20210226,금요일,외지인(b),30670.5
43,김제시,20210223,화요일,외지인(b),27951.0
44,김제시,20210227,토요일,외지인(b),42598.5
45,김제시,20210213,토요일,외지인(b),53833.5
46,김제시,20210212,금요일,외지인(b),81298.0
47,김제시,20210301,월요일,외지인(b),22946.0
48,김제시,20210228,일요일,외지인(b),40484.5
49,김제시,20210211,목요일,외지인(b),55153.0
50,김제시,20210214,일요일,외지인(b),32949.0
51,김제시,20210215,월요일,외지인(b),21532.0
52,김제시,20210219,금요일,외지인(b),27391.0
53,김제시,20210218,목요일,외지인(b),21311.5
54,김제시,20210217,수요일,외지인(b),18182.5
55,김제시,20210216,화요일,외지인(b),22533.0
56,김제시,20210220,토요일,외지인(b),37268.0
57,김제시,20210221,일요일,외지인(b),37628.5
58,김제시,20210225,목요일,외지인(b),25672.5
59,김제시,20210224,수요일,외지인(b),28077.0
60,김제시,20210331,수요일,외지인(b),36365.0
61,김제시,20210330,화요일,외지인(b),36928.5
62,김제시,20210401,목요일,외지인(b),28059.5
63,김제시,20210402,금요일,외지인(b),37366.0
64,김제시,20210403,토요일,외지인(b),34149.5
65,김제시,20210405,월요일,외지인(b),27450.5
66,김제시,20210404,일요일,외지인(b),32942.0
67,김제시,20210408,목요일,외지인(b),27006.0
68,김제시,20210406,화요일,외지인(b),27083.0
69,김제시,20210407,수요일,외지인(b),26617.5
70,김제시,20210321,일요일,외지인(b),35374.5
71,김제시,20210323,화요일,외지인(b),30352.0
72,김제시,20210322,월요일,외지인(b),29550.5
73,김제시,20210325,목요일,외지인(b),32189.5
74,김제시,20210324,수요일,외지인(b),30723.0
75,김제시,20210326,금요일,외지인(b),34478.5
76,김제시,20210328,일요일,외지인(b),34545.0
77,김제시,20210327,토요일,외지인(b),37173.5
78,김제시,20210329,월요일,외지인(b),30201.5
79,김제시,20210418,일요일,외지인(b),40642.0
80,김제시,20210417,토요일,외지인(b),42399.0
81,김제시,20210420,화요일,외지인(b),28119.0
82,김제시,20210419,월요일,외지인(b),27391.0
83,김제시,20210422,목요일,외지인(b),30061.5
84,김제시,20210421,수요일,외지인(b),28427.0
85,김제시,20210424,토요일,외지인(b),46574.5
86,김제시,20210423,금요일,외지인(b),30523.5
87,김제시,20210426,월요일,외지인(b),28675.5
88,김제시,20210425,일요일,외지인(b),43991.5
89,김제시,20210427,화요일,외지인(b),28927.5
90,김제시,20210409,금요일,외지인(b),30891.0
91,김제시,20210411,일요일,외지인(b),44215.5
92,김제시,20210410,토요일,외지인(b),46627.0
93,김제시,20210413,화요일,외지인(b),23996.0
94,김제시,20210412,월요일,외지인(b),21301.0
95,김제시,20210414,수요일,외지인(b),26547.5
96,김제시,20210415,목요일,외지인(b),28234.5
97,김제시,20210416,금요일,외지인(b),28539.0
98,김제시,20210309,화요일,외지인(b),27020.0
99,김제시,20210311,목요일,외지인(b),28794.5
100,김제시,20210310,수요일,외지인(b),28161.0
101,김제시,20210313,토요일,외지인(b),39501.0
102,김제시,20210312,금요일,외지인(b),25711.0
103,김제시,20210315,월요일,외지인(b),27772.5
104,김제시,20210314,일요일,외지인(b),37670.5
105,김제시,20210317,수요일,외지인(b),29165.5
106,김제시,20210316,화요일,외지인(b),28024.5
107,김제시,20210318,목요일,외지인(b),30583.0
108,김제시,20210319,금요일,외지인(b),32434.5
109,김제시,20210320,토요일,외지인(b),32438.0
110,김제시,20210302,화요일,외지인(b),22060.5
111,김제시,20210303,수요일,외지인(b),25245.5
112,김제시,20210305,금요일,외지인(b),28101.5
113,김제시,20210304,목요일,외지인(b),23821.0
114,김제시,20210306,토요일,외지인(b),34849.5
115,김제시,20210308,월요일,외지인(b),25987.5
116,김제시,20210307,일요일,외지인(b),34055.0
117,김제시,20210513,목요일,외지인(b),29445.5
118,김제시,20210511,화요일,외지인(b),24195.5
119,김제시,20210515,토요일,외지인(b),38269.0
120,김제시,20210514,금요일,외지인(b),31510.5
121,김제시,20210512,수요일,외지인(b),27933.5
122,김제시,20210516,일요일,외지인(b),29729.0
123,김제시,20210430,금요일,외지인(b),31871.0
124,김제시,20210501,토요일,외지인(b),38787.0
125,김제시,20210429,목요일,외지인(b),29050.0
126,김제시,20210428,수요일,외지인(b),27825.0
127,김제시,20210502,일요일,외지인(b),40061.0
128,김제시,20210503,월요일,외지인(b),26418.0
