,도시이름,날짜,요일한글,방문객한글,방문자수
0,부안군,20210121,목요일,외지인(b),14241.5
1,부안군,20210114,목요일,외지인(b),14444.5
2,부안군,20210113,수요일,외지인(b),12897.5
3,부안군,20210115,금요일,외지인(b),15400.0
4,부안군,20210116,토요일,외지인(b),24199.0
5,부안군,20210117,일요일,외지인(b),25032.0
6,부안군,20210118,월요일,외지인(b),9653.0
7,부안군,20210120,수요일,외지인(b),14497.0
8,부안군,20210119,화요일,외지인(b),12432.0
9,부안군,20210122,금요일,외지인(b),15781.5
10,부안군,20210104,월요일,외지인(b),11767.0
11,부안군,20210106,수요일,외지인(b),11508.0
12,부안군,20210105,화요일,외지인(b),11392.5
13,부안군,20210108,금요일,외지인(b),7857.5
14,부안군,20210107,목요일,외지인(b),6174.0
15,부안군,20210109,토요일,외지인(b),14157.5
16,부안군,20210111,월요일,외지인(b),10864.0
17,부안군,20210110,일요일,외지인(b),16394.0
18,부안군,20210112,화요일,외지인(b),11039.0
19,부안군,20210201,월요일,외지인(b),12012.0
20,부안군,20210131,일요일,외지인(b),28255.5
21,부안군,20210202,화요일,외지인(b),12008.5
22,부안군,20210203,수요일,외지인(b),11977.0
23,부안군,20210204,목요일,외지인(b),12610.5
24,부안군,20210205,금요일,외지인(b),14822.5
25,부안군,20210207,일요일,외지인(b),23170.0
26,부안군,20210206,토요일,외지인(b),23303.0
27,부안군,20210210,수요일,외지인(b),19757.5
28,부안군,20210209,화요일,외지인(b),14595.0
29,부안군,20210208,월요일,외지인(b),12911.5
30,부안군,20210124,일요일,외지인(b),30534.0
31,부안군,20210123,토요일,외지인(b),25945.5
32,부안군,20210125,월요일,외지인(b),15935.5
33,부안군,20210127,수요일,외지인(b),14490.0
34,부안군,20210126,화요일,외지인(b),13076.0
35,부안군,20210128,목요일,외지인(b),12939.5
36,부안군,20210130,토요일,외지인(b),26180.0
37,부안군,20210129,금요일,외지인(b),14049.0
38,부안군,20210101,금요일,외지인(b),30996.0
39,부안군,20210103,일요일,외지인(b),23551.5
40,부안군,20210102,토요일,외지인(b),30884.0
41,부안군,20210225,목요일,외지인(b),15585.5
42,부안군,20210222,월요일,외지인(b),17500.0
43,부안군,20210227,토요일,외지인(b),40876.5
44,부안군,20210226,금요일,외지인(b),20202.0
45,부안군,20210223,화요일,외지인(b),16922.5
46,부안군,20210228,일요일,외지인(b),50417.5
47,부안군,20210212,금요일,외지인(b),71316.0
48,부안군,20210301,월요일,외지인(b),21738.5
49,부안군,20210213,토요일,외지인(b),63010.5
50,부안군,20210211,목요일,외지인(b),43568.0
51,부안군,20210215,월요일,외지인(b),13643.0
52,부안군,20210214,일요일,외지인(b),31738.0
53,부안군,20210218,목요일,외지인(b),11004.0
54,부안군,20210216,화요일,외지인(b),12698.0
55,부안군,20210219,금요일,외지인(b),16835.0
56,부안군,20210217,수요일,외지인(b),9373.0
57,부안군,20210221,일요일,외지인(b),32595.5
58,부안군,20210220,토요일,외지인(b),30166.5
59,부안군,20210224,수요일,외지인(b),17059.0
60,부안군,20210401,목요일,외지인(b),15911.0
61,부안군,20210330,화요일,외지인(b),20300.0
62,부안군,20210331,수요일,외지인(b),20384.0
63,부안군,20210402,금요일,외지인(b),20132.0
64,부안군,20210404,일요일,외지인(b),27118.0
65,부안군,20210403,토요일,외지인(b),28119.0
66,부안군,20210406,화요일,외지인(b),16719.5
67,부안군,20210405,월요일,외지인(b),16667.0
68,부안군,20210408,목요일,외지인(b),16618.0
69,부안군,20210407,수요일,외지인(b),16362.5
70,부안군,20210321,일요일,외지인(b),29981.0
71,부안군,20210322,월요일,외지인(b),16488.5
72,부안군,20210324,수요일,외지인(b),17629.5
73,부안군,20210323,화요일,외지인(b),16366.0
74,부안군,20210325,목요일,외지인(b),19085.5
75,부안군,20210326,금요일,외지인(b),22116.5
76,부안군,20210327,토요일,외지인(b),30180.5
77,부안군,20210329,월요일,외지인(b),18718.0
78,부안군,20210328,일요일,외지인(b),29207.5
79,부안군,20210419,월요일,외지인(b),18858.0
80,부안군,20210418,일요일,외지인(b),39189.5
81,부안군,20210421,수요일,외지인(b),18200.0
82,부안군,20210420,화요일,외지인(b),18714.5
83,부안군,20210422,목요일,외지인(b),18378.5
84,부안군,20210424,토요일,외지인(b),45647.0
85,부안군,20210423,금요일,외지인(b),21567.0
86,부안군,20210426,월요일,외지인(b),19397.0
87,부안군,20210425,일요일,외지인(b),44660.0
88,부안군,20210427,화요일,외지인(b),19169.5
89,부안군,20210410,토요일,외지인(b),46109.0
90,부안군,20210409,금요일,외지인(b),21710.5
91,부안군,20210412,월요일,외지인(b),13720.0
92,부안군,20210411,일요일,외지인(b),43319.5
93,부안군,20210413,화요일,외지인(b),14196.0
94,부안군,20210414,수요일,외지인(b),16800.0
95,부안군,20210415,목요일,외지인(b),17626.0
96,부안군,20210417,토요일,외지인(b),39784.5
97,부안군,20210416,금요일,외지인(b),19960.5
98,부안군,20210310,수요일,외지인(b),15967.0
99,부안군,20210309,화요일,외지인(b),15225.0
