월.일,최대순간풍향/풍속(m/s)(시각),최저기온(시각),최고기온(시각),일강우량,최저습도(시각),최고습도(시각),최저기압(시각),최고기압(시각)
9.3,357.2 / N6.5,16.8,27.7,0,48,97,,
9.29,292.5 / WNW4.9,19.5,23.7,21.3,94,97,,
9.28,126.6 / SE3.4,20.3,26.2,1.3,56,97,,
9.27,331.9 / NNW4.2,18.5,27.6,0.1,46,97,,
9.26,39.4 / NE6.1,16.6,28.3,0,48,97,,
9.25,45.0 / NE7.6,15.5,25.3,0,60,97,,
9.24,28.1 / NNE4.7,13.1,27.7,0,44,97,,
9.23,281.3 / WNW5.9,14.7,27,0,41,97,,
9.22,216.6 / SW6.4,17.3,27.8,2.4,48,97,,
9.21,227.8 / SW8.7,18.2,26.8,57,63,97,,
9.2,112.5 / ESE6.7,16.9,30,0,46,97,,
9.19,320.6 / NW4.7,16.7,28.9,0,46,97,,
9.18,315.0 / NW5.6,15.9,29.1,0,49,97,,
9.17,28.1 / NNE9.7,19.4,25,36.8,64,97,,
9.16,8.4 / N5.6,15.6,28.9,0.1,47,94,,
9.15,45.0 / NE8.6,20.9,30,0,42,71,,
9.14,28.1 / NNE7.4,20.4,28.7,0,55,81,,
9.13,22.5 / NNE5.5,20,29.3,0,49,97,,
9.12,348.8 / N6.6,18.9,28.8,0,57,97,,
9.11,326.3 / NNW5.3,18.6,30.8,0,51,97,,
9.1,123.8 / SE4.9,20,28.9,0.2,58,97,,
9.09,337.5 / NNW4.0,16.7,30.3,0,39,97,,
9.08,261.6 / W5.6,17.8,27.7,0.8,55,97,,
9.07,225.0 / SW6.9,19.8,26.5,1.9,80,97,,
9.06,33.8 / NE5.9,19.3,23,21.5,86,97,,
9.05,28.1 / NNE4.7,18.7,23.8,2.6,66,97,,
9.04,36.6 / NE4.3,18,28,0,55,97,,
9.03,36.6 / NE6.0,19.9,30.1,0,52,97,,
9.02,151.9 / SSE4.7,21.1,26.9,0.4,69,97,,
9.01,157.5 / SSE6.1,21.6,26.3,25.8,78,97,,
8.31,286.9 / WNW6.5,21.4,32.1,0.5,57,97,,
8.3,334.7 / NNW6.0,20.7,27.7,0.1,64,97,,
8.29,351.6 / N8.6,19.2,27.2,50.9,73,97,,
8.28,295.3 / WNW6.2,20.1,27.6,3.8,60,97,,
8.27,351.6 / N9.0,20,23.7,33.6,96,97,,
8.26,135.0 / SE5.1,21.7,30.9,0,53,97,,
8.25,309.4 / NW7.1,22.8,27.9,4.5,79,97,,
8.24,210.9 / SSW8.8,22,28.7,39,82,97,,
8.23,39.4 / NE6.3,22.1,24.9,66.7,93,97,,
8.22,185.6 / S6.3,20.8,30.3,0,58,97,,
8.21,199.7 / SSW7.7,22.6,28.6,23,71,97,,
8.2,129.4 / SE5.4,19.8,32.5,0,46,97,,
8.19,87.2 / E4.9,20.4,30.2,0.9,51,97,,
8.18,320.6 / NW8.1,19.4,30.8,0.9,48,97,,
8.17,36.6 / NE8.2,22.1,30.8,0,49,87,,
8.16,28.1 / NNE6.1,22,31.5,0,50,97,,
8.15,132.2 / SE4.2,19.9,32.6,0,45,97,,
8.14,39.4 / NE6.9,23.2,29.5,0.8,53,97,,
8.13,354.4 / N6.2,21.1,31.3,0,55,97,,
8.12,137.8 / SE6.1,21.8,32.3,0,55,97,,
8.11,126.6 / SE5.1,21.5,34.3,0,38,97,,
8.1,239.1 / WSW6.1,22.7,32.8,0,50,97,,
8.09,337.5 / NNW7.0,22.2,32.6,0,49,97,,
8.08,22.5 / NNE6.1,23.8,30.8,0,66,97,,
8.07,292.5 / WNW4.4,22.2,33.3,0,53,97,,
8.06,345.9 / NNW8.3,24.3,35,0,57,97,,
8.05,306.6 / NW6.3,23.6,35.3,0,47,97,,
8.04,137.8 / SE4.8,22.9,34.4,0,49,97,,
8.03,233.4 / SW7.5,23,33.2,20.5,52,97,,
8.02,81.6 / E4.8,24.1,29.9,58.6,75,97,,
8.01,309.4 / NW6.7,24.4,32.3,12,60,97,,
7.31,281.3 / WNW5.2,25.6,34.6,0.3,48,97,,
7.3,185.6 / S5.3,24.5,35.7,1.1,43,97,,
7.29,267.2 / W6.0,24.3,34.8,0,49,97,,
7.28,205.3 / SSW5.3,23.4,34.6,0,51,97,,
7.27,309.4 / NW4.5,22.3,36.1,0,42,97,,
7.26,118.1 / ESE4.9,22.1,36.7,0,35,92,,
7.25,56.3 / ENE6.1,23.1,36.2,0,39,97,,
7.24,56.3 / ENE5.1,23.3,36.3,0,41,97,,
7.23,120.9 / ESE5.6,22.3,35.7,0,41,97,,
7.22,87.2 / E5.2,21.4,36.5,0,39,97,,
7.21,28.1 / NNE6.2,22.3,35.1,0,44,97,,
