,도시이름,날짜,요일한글,방문객한글,방문자수
0,익산시,20210114,목요일,외지인(b),45195.5
1,익산시,20210116,토요일,외지인(b),55065.5
2,익산시,20210115,금요일,외지인(b),47894.0
3,익산시,20210117,일요일,외지인(b),47260.5
4,익산시,20210121,목요일,외지인(b),47512.5
5,익산시,20210119,화요일,외지인(b),43834.0
6,익산시,20210118,월요일,외지인(b),38612.0
7,익산시,20210120,수요일,외지인(b),48384.0
8,익산시,20210122,금요일,외지인(b),50463.0
9,익산시,20210104,월요일,외지인(b),38241.0
10,익산시,20210105,화요일,외지인(b),38762.5
11,익산시,20210107,목요일,외지인(b),28787.5
12,익산시,20210106,수요일,외지인(b),38419.5
13,익산시,20210108,금요일,외지인(b),34755.0
14,익산시,20210109,토요일,외지인(b),41835.5
15,익산시,20210110,일요일,외지인(b),35990.5
16,익산시,20210111,월요일,외지인(b),38640.0
17,익산시,20210113,수요일,외지인(b),42637.0
18,익산시,20210112,화요일,외지인(b),40187.0
19,익산시,20210201,월요일,외지인(b),38797.5
20,익산시,20210203,수요일,외지인(b),40761.0
21,익산시,20210202,화요일,외지인(b),40418.0
22,익산시,20210205,금요일,외지인(b),48160.0
23,익산시,20210204,목요일,외지인(b),42570.5
24,익산시,20210206,토요일,외지인(b),56441.0
25,익산시,20210208,월요일,외지인(b),45678.5
26,익산시,20210207,일요일,외지인(b),50848.0
27,익산시,20210209,화요일,외지인(b),49609.0
28,익산시,20210210,수요일,외지인(b),61845.0
29,익산시,20210123,토요일,외지인(b),58600.5
30,익산시,20210125,월요일,외지인(b),48951.0
31,익산시,20210124,일요일,외지인(b),53536.0
32,익산시,20210127,수요일,외지인(b),50106.0
33,익산시,20210126,화요일,외지인(b),47614.0
34,익산시,20210129,금요일,외지인(b),50774.5
35,익산시,20210128,목요일,외지인(b),46473.0
36,익산시,20210131,일요일,외지인(b),54299.0
37,익산시,20210130,토요일,외지인(b),59195.5
38,익산시,20210102,토요일,외지인(b),49910.0
39,익산시,20210101,금요일,외지인(b),44058.0
40,익산시,20210103,일요일,외지인(b),40162.5
41,익산시,20210222,월요일,외지인(b),53445.0
42,익산시,20210226,금요일,외지인(b),62576.5
43,익산시,20210223,화요일,외지인(b),54477.5
44,익산시,20210227,토요일,외지인(b),79450.0
45,익산시,20210407,수요일,외지인(b),46189.5
46,익산시,20210212,금요일,외지인(b),120512.0
47,익산시,20210301,월요일,외지인(b),52220.0
48,익산시,20210211,목요일,외지인(b),92610.0
49,익산시,20210228,일요일,외지인(b),80776.5
50,익산시,20210214,일요일,외지인(b),58726.5
51,익산시,20210213,토요일,외지인(b),88196.5
52,익산시,20210215,월요일,외지인(b),47985.0
53,익산시,20210219,금요일,외지인(b),56469.0
54,익산시,20210218,목요일,외지인(b),47215.0
55,익산시,20210217,수요일,외지인(b),44299.5
56,익산시,20210216,화요일,외지인(b),46270.0
57,익산시,20210220,토요일,외지인(b),65915.5
58,익산시,20210221,일요일,외지인(b),60417.0
59,익산시,20210225,목요일,외지인(b),53739.0
60,익산시,20210224,수요일,외지인(b),55272.0
61,익산시,20210331,수요일,외지인(b),71148.0
62,익산시,20210401,목요일,외지인(b),43543.5
63,익산시,20210402,금요일,외지인(b),53256.0
64,익산시,20210403,토요일,외지인(b),62160.0
65,익산시,20210405,월요일,외지인(b),45328.5
66,익산시,20210404,일요일,외지인(b),55793.5
67,익산시,20210406,화요일,외지인(b),44866.5
68,익산시,20210408,목요일,외지인(b),46966.5
69,익산시,20210322,월요일,외지인(b),63343.0
70,익산시,20210321,일요일,외지인(b),66916.5
71,익산시,20210323,화요일,외지인(b),65418.5
72,익산시,20210325,목요일,외지인(b),68372.5
73,익산시,20210324,수요일,외지인(b),65751.0
74,익산시,20210327,토요일,외지인(b),75519.5
75,익산시,20210326,금요일,외지인(b),72719.5
76,익산시,20210328,일요일,외지인(b),68299.0
77,익산시,20210330,화요일,외지인(b),69979.0
78,익산시,20210329,월요일,외지인(b),68015.5
79,익산시,20210418,일요일,외지인(b),58135.0
