,도시이름,날짜,요일한글,방문객한글,방문자수
0,임실군,20210121,목요일,외지인(b),11749.5
1,임실군,20210114,목요일,외지인(b),10941.0
2,임실군,20210115,금요일,외지인(b),12225.5
3,임실군,20210116,토요일,외지인(b),16674.0
4,임실군,20210118,월요일,외지인(b),8375.5
5,임실군,20210117,일요일,외지인(b),15414.0
6,임실군,20210119,화요일,외지인(b),9954.0
7,임실군,20210120,수요일,외지인(b),11399.5
8,임실군,20210122,금요일,외지인(b),12645.5
9,임실군,20210104,월요일,외지인(b),8830.5
10,임실군,20210106,수요일,외지인(b),9397.5
11,임실군,20210105,화요일,외지인(b),10076.5
12,임실군,20210107,목요일,외지인(b),5897.5
13,임실군,20210109,토요일,외지인(b),9348.5
14,임실군,20210108,금요일,외지인(b),7378.0
15,임실군,20210110,일요일,외지인(b),10342.5
16,임실군,20210112,화요일,외지인(b),9373.0
17,임실군,20210111,월요일,외지인(b),8687.0
18,임실군,20210113,수요일,외지인(b),9978.5
19,임실군,20210202,화요일,외지인(b),12208.0
20,임실군,20210201,월요일,외지인(b),10972.5
21,임실군,20210203,수요일,외지인(b),11315.5
22,임실군,20210204,목요일,외지인(b),11035.5
23,임실군,20210205,금요일,외지인(b),13867.0
24,임실군,20210207,일요일,외지인(b),22302.0
25,임실군,20210206,토요일,외지인(b),21651.0
26,임실군,20210208,월요일,외지인(b),13055.0
27,임실군,20210210,수요일,외지인(b),20030.5
28,임실군,20210209,화요일,외지인(b),13828.5
29,임실군,20210124,일요일,외지인(b),19824.0
30,임실군,20210123,토요일,외지인(b),17020.5
31,임실군,20210125,월요일,외지인(b),13016.5
32,임실군,20210127,수요일,외지인(b),12904.5
33,임실군,20210126,화요일,외지인(b),12334.0
34,임실군,20210128,목요일,외지인(b),11039.0
35,임실군,20210130,토요일,외지인(b),18704.0
36,임실군,20210129,금요일,외지인(b),11112.5
37,임실군,20210131,일요일,외지인(b),20489.0
38,임실군,20210101,금요일,외지인(b),15004.5
39,임실군,20210103,일요일,외지인(b),14042.0
40,임실군,20210102,토요일,외지인(b),15519.0
41,임실군,20210222,월요일,외지인(b),14896.0
42,임실군,20210225,목요일,외지인(b),13832.0
43,임실군,20210227,토요일,외지인(b),31475.5
44,임실군,20210226,금요일,외지인(b),17556.0
45,임실군,20210223,화요일,외지인(b),14850.5
46,임실군,20210228,일요일,외지인(b),32924.5
47,임실군,20210213,토요일,외지인(b),34086.5
48,임실군,20210212,금요일,외지인(b),48146.0
49,임실군,20210301,월요일,외지인(b),17962.0
50,임실군,20210211,목요일,외지인(b),33117.0
51,임실군,20210214,일요일,외지인(b),20828.5
52,임실군,20210215,월요일,외지인(b),11746.0
53,임실군,20210218,목요일,외지인(b),9961.0
54,임실군,20210219,금요일,외지인(b),13912.5
55,임실군,20210216,화요일,외지인(b),12449.5
56,임실군,20210217,수요일,외지인(b),8554.0
57,임실군,20210221,일요일,외지인(b),24864.0
58,임실군,20210220,토요일,외지인(b),23268.0
59,임실군,20210224,수요일,외지인(b),14983.5
60,임실군,20210401,목요일,외지인(b),16390.5
61,임실군,20210330,화요일,외지인(b),18910.5
62,임실군,20210331,수요일,외지인(b),18886.0
63,임실군,20210403,토요일,외지인(b),24304.0
64,임실군,20210402,금요일,외지인(b),19036.5
65,임실군,20210404,일요일,외지인(b),23635.5
66,임실군,20210406,화요일,외지인(b),17013.5
67,임실군,20210405,월요일,외지인(b),17339.0
68,임실군,20210408,목요일,외지인(b),16033.5
69,임실군,20210407,수요일,외지인(b),15844.5
70,임실군,20210321,일요일,외지인(b),25928.0
71,임실군,20210323,화요일,외지인(b),16691.5
72,임실군,20210322,월요일,외지인(b),15302.0
73,임실군,20210324,수요일,외지인(b),16320.5
74,임실군,20210325,목요일,외지인(b),18613.0
75,임실군,20210326,금요일,외지인(b),21304.5
76,임실군,20210327,토요일,외지인(b),26754.0
77,임실군,20210329,월요일,외지인(b),16754.5
78,임실군,20210328,일요일,외지인(b),25445.0
79,임실군,20210419,월요일,외지인(b),15809.5
80,임실군,20210418,일요일,외지인(b),31349.5
81,임실군,20210420,화요일,외지인(b),16362.5
82,임실군,20210422,목요일,외지인(b),16236.5
83,임실군,20210421,수요일,외지인(b),16138.5
84,임실군,20210424,토요일,외지인(b),33610.5
85,임실군,20210423,금요일,외지인(b),18245.5
86,임실군,20210426,월요일,외지인(b),15683.5
87,임실군,20210425,일요일,외지인(b),32466.0
88,임실군,20210427,화요일,외지인(b),15795.5
89,임실군,20210410,토요일,외지인(b),35101.5
90,임실군,20210409,금요일,외지인(b),19110.0
91,임실군,20210412,월요일,외지인(b),12033.0
92,임실군,20210411,일요일,외지인(b),35136.5
93,임실군,20210413,화요일,외지인(b),14122.5
94,임실군,20210414,수요일,외지인(b),15918.0
95,임실군,20210415,목요일,외지인(b),16128.0
96,임실군,20210417,토요일,외지인(b),31066.0
97,임실군,20210416,금요일,외지인(b),17822.0
98,임실군,20210310,수요일,외지인(b),15694.0
99,임실군,20210309,화요일,외지인(b),15186.5
100,임실군,20210312,금요일,외지인(b),14892.5
101,임실군,20210311,목요일,외지인(b),15585.5
102,임실군,20210313,토요일,외지인(b),30061.5
103,임실군,20210315,월요일,외지인(b),15862.0
104,임실군,20210314,일요일,외지인(b),28175.0
105,임실군,20210317,수요일,외지인(b),16226.0
106,임실군,20210316,화요일,외지인(b),15617.0
107,임실군,20210319,금요일,외지인(b),19215.0
108,임실군,20210318,목요일,외지인(b),16306.5
109,임실군,20210302,화요일,외지인(b),10801.0
110,임실군,20210320,토요일,외지인(b),22060.5
111,임실군,20210303,수요일,외지인(b),12470.5
112,임실군,20210305,금요일,외지인(b),14836.5
113,임실군,20210304,목요일,외지인(b),11823.0
114,임실군,20210306,토요일,외지인(b),23618.0
115,임실군,20210307,일요일,외지인(b),21843.5
116,임실군,20210308,월요일,외지인(b),13919.5
117,임실군,20210513,목요일,외지인(b),16590.0
118,임실군,20210514,금요일,외지인(b),19197.5
119,임실군,20210515,토요일,외지인(b),25525.5
120,임실군,20210512,수요일,외지인(b),15946.0
121,임실군,20210511,화요일,외지인(b),13293.0
122,임실군,20210516,일요일,외지인(b),20576.5
123,임실군,20210430,금요일,외지인(b),19960.5
124,임실군,20210428,수요일,외지인(b),15242.5
125,임실군,20210502,일요일,외지인(b),32483.5
126,임실군,20210501,토요일,외지인(b),29592.5
127,임실군,20210429,목요일,외지인(b),16194.5
128,임실군,20210504,화요일,외지인(b),16586.5
129,임실군,20210503,월요일,외지인(b),16548.0
