지자체이름,날짜,요일숫자,요일한글,방문객숫자,방문객한글,방문자수
전라북도,20210101,5,금요일,2,외지인(b),197561
전라북도,20210102,6,토요일,2,외지인(b),216251
전라북도,20210103,7,일요일,2,외지인(b),169883
전라북도,20210104,1,월요일,2,외지인(b),123025
전라북도,20210105,2,화요일,2,외지인(b),124005
전라북도,20210106,3,수요일,2,외지인(b),122363.5
전라북도,20210107,4,목요일,2,외지인(b),100254
전라북도,20210108,5,금요일,2,외지인(b),118947.5
전라북도,20210109,6,토요일,2,외지인(b),158147.5
전라북도,20210110,7,일요일,2,외지인(b),151889.5
전라북도,20210111,1,월요일,2,외지인(b),128915.5
전라북도,20210112,2,화요일,2,외지인(b),133913.5
전라북도,20210113,3,수요일,2,외지인(b),143510.5
전라북도,20210114,4,목요일,2,외지인(b),154591.5
전라북도,20210115,5,금요일,2,외지인(b),171535
전라북도,20210116,6,토요일,2,외지인(b),223569.5
전라북도,20210117,7,일요일,2,외지인(b),200679.5
전라북도,20210118,1,월요일,2,외지인(b),135236.5
전라북도,20210119,2,화요일,2,외지인(b),153149.5
전라북도,20210120,3,수요일,2,외지인(b),164346
전라북도,20210121,4,목요일,2,외지인(b),161861
전라북도,20210122,5,금요일,2,외지인(b),180526.5
전라북도,20210123,6,토요일,2,외지인(b),235126.5
전라북도,20210124,7,일요일,2,외지인(b),229841.5
전라북도,20210125,1,월요일,2,외지인(b),172620
전라북도,20210126,2,화요일,2,외지인(b),166243
전라북도,20210127,3,수요일,2,외지인(b),175665
전라북도,20210128,4,목요일,2,외지인(b),165116
전라북도,20210129,5,금요일,2,외지인(b),181415.5
전라북도,20210130,6,토요일,2,외지인(b),246228.5
전라북도,20210131,7,일요일,2,외지인(b),234482.5
전라북도,20210201,1,월요일,2,외지인(b),118884.5
전라북도,20210202,2,화요일,2,외지인(b),124509
전라북도,20210203,3,수요일,2,외지인(b),128940
전라북도,20210204,4,목요일,2,외지인(b),132604.5
전라북도,20210205,5,금요일,2,외지인(b),157860.5
전라북도,20210206,6,토요일,2,외지인(b),217227.5
전라북도,20210207,7,일요일,2,외지인(b),199181.5
전라북도,20210208,1,월요일,2,외지인(b),147955.5
전라북도,20210209,2,화요일,2,외지인(b),164815
전라북도,20210210,3,수요일,2,외지인(b),237779.5
전라북도,20210211,4,목요일,2,외지인(b),422037
전라북도,20210212,5,금요일,2,외지인(b),531282.5
전라북도,20210213,6,토요일,2,외지인(b),438189.5
전라북도,20210214,7,일요일,2,외지인(b),265902
전라북도,20210215,1,월요일,2,외지인(b),168549.5
전라북도,20210216,2,화요일,2,외지인(b),158210.5
전라북도,20210217,3,수요일,2,외지인(b),148778
전라북도,20210218,4,목요일,2,외지인(b),159117
전라북도,20210219,5,금요일,2,외지인(b),196091
전라북도,20210220,6,토요일,2,외지인(b),268548
전라북도,20210221,7,일요일,2,외지인(b),260260
전라북도,20210222,1,월요일,2,외지인(b),190617
전라북도,20210223,2,화요일,2,외지인(b),191128
전라북도,20210224,3,수요일,2,외지인(b),194729.5
전라북도,20210225,4,목요일,2,외지인(b),191471
전라북도,20210226,5,금요일,2,외지인(b),229526.5
전라북도,20210227,6,토요일,2,외지인(b),357581
전라북도,20210228,7,일요일,2,외지인(b),390925.5
전라북도,20210301,1,월요일,2,외지인(b),215435.5
전라북도,20210302,2,화요일,2,외지인(b),157633
전라북도,20210303,3,수요일,2,외지인(b),166467
전라북도,20210304,4,목요일,2,외지인(b),166561.5
전라북도,20210305,5,금요일,2,외지인(b),189633.5
전라북도,20210306,6,토요일,2,외지인(b),252602
전라북도,20210307,7,일요일,2,외지인(b),236208
전라북도,20210308,1,월요일,2,외지인(b),178332
전라북도,20210309,2,화요일,2,외지인(b),187323.5
전라북도,20210310,3,수요일,2,외지인(b),193329.5
전라북도,20210311,4,목요일,2,외지인(b),193693.5
전라북도,20210312,5,금요일,2,외지인(b),208078.5
전라북도,20210313,6,토요일,2,외지인(b),295123.5
전라북도,20210314,7,일요일,2,외지인(b),278915
전라북도,20210315,1,월요일,2,외지인(b),200067
전라북도,20210316,2,화요일,2,외지인(b),202125
전라북도,20210317,3,수요일,2,외지인(b),205107
전라북도,20210318,4,목요일,2,외지인(b),211463
전라북도,20210319,5,금요일,2,외지인(b),236869.5
전라북도,20210320,6,토요일,2,외지인(b),286051.5
전라북도,20210321,7,일요일,2,외지인(b),278236
전라북도,20210322,1,월요일,2,외지인(b),206136
전라북도,20210323,2,화요일,2,외지인(b),211109.5
전라북도,20210324,3,수요일,2,외지인(b),215481
전라북도,20210325,4,목요일,2,외지인(b),225088.5
전라북도,20210326,5,금요일,2,외지인(b),254495.5
전라북도,20210327,6,토요일,2,외지인(b),304608.5
전라북도,20210328,7,일요일,2,외지인(b),288403.5
전라북도,20210329,1,월요일,2,외지인(b),224140
전라북도,20210330,2,화요일,2,외지인(b),229659.5
전라북도,20210331,3,수요일,2,외지인(b),235196.5
전라북도,20210401,4,목요일,2,외지인(b),139713
전라북도,20210402,5,금요일,2,외지인(b),181401.5
전라북도,20210403,6,토요일,2,외지인(b),247054.5
전라북도,20210404,7,일요일,2,외지인(b),229106.5
전라북도,20210405,1,월요일,2,외지인(b),150934
전라북도,20210406,2,화요일,2,외지인(b),149100
전라북도,20210407,3,수요일,2,외지인(b),147913.5
전라북도,20210408,4,목요일,2,외지인(b),155648.5
전라북도,20210409,5,금요일,2,외지인(b),197869
전라북도,20210410,6,토요일,2,외지인(b),320677
전라북도,20210411,7,일요일,2,외지인(b),294430.5
