,도시이름,날짜,요일한글,방문객한글,방문자수
0,전주시 덕진구,20210506,목요일,외지인(b),80801.0
1,전주시 덕진구,20210507,금요일,외지인(b),91665.0
2,전주시 덕진구,20210505,수요일,외지인(b),92099.0
3,전주시 덕진구,20210504,화요일,외지인(b),79628.5
4,전주시 덕진구,20210509,일요일,외지인(b),102914.0
5,전주시 덕진구,20210508,토요일,외지인(b),120351.0
6,전주시 덕진구,20210510,월요일,외지인(b),74476.5
7,전주시 덕진구,20210616,수요일,외지인(b),86940.0
8,전주시 덕진구,20210615,화요일,외지인(b),84521.5
9,전주시 덕진구,20210618,금요일,외지인(b),97926.5
10,전주시 덕진구,20210619,토요일,외지인(b),116154.5
11,전주시 덕진구,20210617,목요일,외지인(b),88557.0
12,전주시 덕진구,20210621,월요일,외지인(b),87402.0
13,전주시 덕진구,20210620,일요일,외지인(b),95833.5
14,전주시 덕진구,20210605,토요일,외지인(b),111083.0
15,전주시 덕진구,20210623,수요일,외지인(b),89071.5
16,전주시 덕진구,20210622,화요일,외지인(b),91644.0
17,전주시 덕진구,20210606,일요일,외지인(b),87185.0
18,전주시 덕진구,20210607,월요일,외지인(b),79114.0
19,전주시 덕진구,20210608,화요일,외지인(b),81504.5
20,전주시 덕진구,20210609,수요일,외지인(b),82043.5
21,전주시 덕진구,20210610,목요일,외지인(b),82922.0
22,전주시 덕진구,20210612,토요일,외지인(b),106074.5
23,전주시 덕진구,20210611,금요일,외지인(b),92043.0
24,전주시 덕진구,20210614,월요일,외지인(b),83272.0
25,전주시 덕진구,20210613,일요일,외지인(b),87664.5
26,전주시 덕진구,20210704,일요일,외지인(b),81518.5
27,전주시 덕진구,20210703,토요일,외지인(b),95210.5
28,전주시 덕진구,20210706,화요일,외지인(b),74343.5
29,전주시 덕진구,20210705,월요일,외지인(b),75201.0
30,전주시 덕진구,20210707,수요일,외지인(b),74287.5
31,전주시 덕진구,20210709,금요일,외지인(b),90086.5
32,전주시 덕진구,20210708,목요일,외지인(b),79488.5
33,전주시 덕진구,20210710,토요일,외지인(b),104041.0
34,전주시 덕진구,20210711,일요일,외지인(b),88606.0
35,전주시 덕진구,20210624,목요일,외지인(b),91990.5
36,전주시 덕진구,20210625,금요일,외지인(b),100982.0
37,전주시 덕진구,20210626,토요일,외지인(b),116294.5
38,전주시 덕진구,20210627,일요일,외지인(b),97594.0
39,전주시 덕진구,20210629,화요일,외지인(b),91924.0
40,전주시 덕진구,20210628,월요일,외지인(b),89866.0
41,전주시 덕진구,20210702,금요일,외지인(b),85526.0
42,전주시 덕진구,20210701,목요일,외지인(b),73500.0
43,전주시 덕진구,20210630,수요일,외지인(b),92634.5
44,전주시 덕진구,20210526,수요일,외지인(b),85918.0
45,전주시 덕진구,20210525,화요일,외지인(b),83657.0
46,전주시 덕진구,20210527,목요일,외지인(b),84371.0
47,전주시 덕진구,20210528,금요일,외지인(b),92008.0
48,전주시 덕진구,20210530,일요일,외지인(b),96127.5
49,전주시 덕진구,20210529,토요일,외지인(b),115864.0
50,전주시 덕진구,20210531,월요일,외지인(b),87710.0
51,전주시 덕진구,20210601,화요일,외지인(b),73510.5
52,전주시 덕진구,20210602,수요일,외지인(b),76433.0
53,전주시 덕진구,20210603,목요일,외지인(b),75516.0
54,전주시 덕진구,20210604,금요일,외지인(b),89950.0
55,전주시 덕진구,20210517,월요일,외지인(b),77654.5
56,전주시 덕진구,20210518,화요일,외지인(b),90408.5
57,전주시 덕진구,20210520,목요일,외지인(b),83058.5
58,전주시 덕진구,20210519,수요일,외지인(b),94321.5
59,전주시 덕진구,20210522,토요일,외지인(b),115335.5
60,전주시 덕진구,20210521,금요일,외지인(b),92221.5
61,전주시 덕진구,20210523,일요일,외지인(b),93156.0
62,전주시 덕진구,20210524,월요일,외지인(b),81445.0
63,전주시 덕진구,20210730,금요일,외지인(b),101304.0
64,전주시 덕진구,20210712,월요일,외지인(b),81494.0
65,전주시 덕진구,20210813,금요일,외지인(b),92767.5
66,전주시 덕진구,20210812,목요일,외지인(b),83132.0
67,전주시 덕진구,20210717,토요일,외지인(b),105199.5
68,전주시 덕진구,20210718,일요일,외지인(b),88721.5
69,전주시 덕진구,20210719,월요일,외지인(b),86177.0
70,전주시 덕진구,20210805,목요일,외지인(b),82684.0
71,전주시 덕진구,20210804,수요일,외지인(b),80997.0
72,전주시 덕진구,20210803,화요일,외지인(b),85438.5
73,전주시 덕진구,20210720,화요일,외지인(b),87237.5
74,전주시 덕진구,20210723,금요일,외지인(b),97755.0
75,전주시 덕진구,20210724,토요일,외지인(b),103054.0
76,전주시 덕진구,20210725,일요일,외지인(b),89953.5
77,전주시 덕진구,20210818,수요일,외지인(b),83415.5
78,전주시 덕진구,20210726,월요일,외지인(b),90657.0
79,전주시 덕진구,20210817,화요일,외지인(b),85774.5
80,전주시 덕진구,20210810,화요일,외지인(b),82334.0
81,전주시 덕진구,20210811,수요일,외지인(b),85816.5
82,전주시 덕진구,20210924,금요일,외지인(b),96953.5
83,전주시 덕진구,20210921,화요일,외지인(b),138330.5
84,전주시 덕진구,20210923,목요일,외지인(b),93583.0
85,전주시 덕진구,20210815,일요일,외지인(b),98441.0
86,전주시 덕진구,20210814,토요일,외지인(b),102616.5
87,전주시 덕진구,20210731,토요일,외지인(b),108031.0
88,전주시 덕진구,20210801,일요일,외지인(b),78232.0
89,전주시 덕진구,20210919,일요일,외지인(b),126154.0
90,전주시 덕진구,20210802,월요일,외지인(b),82834.5
91,전주시 덕진구,20210918,토요일,외지인(b),120869.0
92,전주시 덕진구,20210806,금요일,외지인(b),88294.5
93,전주시 덕진구,20210807,토요일,외지인(b),99393.0
94,전주시 덕진구,20210808,일요일,외지인(b),78445.5
95,전주시 덕진구,20210917,금요일,외지인(b),101451.0
96,전주시 덕진구,20210916,목요일,외지인(b),93331.0
97,전주시 덕진구,20210816,월요일,외지인(b),86982.0
98,전주시 덕진구,20210925,토요일,외지인(b),106396.5
99,전주시 덕진구,20210809,월요일,외지인(b),81816.0
100,전주시 덕진구,20210821,토요일,외지인(b),89757.5
101,전주시 덕진구,20210828,토요일,외지인(b),98210.0
102,전주시 덕진구,20210729,목요일,외지인(b),93285.5
103,전주시 덕진구,20210728,수요일,외지인(b),90128.5
104,전주시 덕진구,20210713,화요일,외지인(b),83237.0
105,전주시 덕진구,20210714,수요일,외지인(b),82873.0
106,전주시 덕진구,20210824,화요일,외지인(b),80549.0
107,전주시 덕진구,20210819,목요일,외지인(b),86100.0
108,전주시 덕진구,20210716,금요일,외지인(b),93191.0
109,전주시 덕진구,20210715,목요일,외지인(b),85298.5
110,전주시 덕진구,20210825,수요일,외지인(b),86425.5
111,전주시 덕진구,20210822,일요일,외지인(b),84784.0
112,전주시 덕진구,20210721,수요일,외지인(b),88060.0
113,전주시 덕진구,20210820,금요일,외지인(b),94545.5
114,전주시 덕진구,20210827,금요일,외지인(b),85291.5
115,전주시 덕진구,20210722,목요일,외지인(b),90849.5
116,전주시 덕진구,20210823,월요일,외지인(b),79800.0
117,전주시 덕진구,20210727,화요일,외지인(b),90090.0
118,전주시 덕진구,20210826,목요일,외지인(b),88221.0
119,전주시 덕진구,20210901,수요일,외지인(b),69107.5
120,전주시 덕진구,20210913,월요일,외지인(b),86968.0
121,전주시 덕진구,20210906,월요일,외지인(b),74669.0
122,전주시 덕진구,20210912,일요일,외지인(b),89369.0
123,전주시 덕진구,20210922,수요일,외지인(b),103915.0
124,전주시 덕진구,20210905,일요일,외지인(b),76548.5
125,전주시 덕진구,20210911,토요일,외지인(b),108349.5
126,전주시 덕진구,20210910,금요일,외지인(b),92767.5
127,전주시 덕진구,20210904,토요일,외지인(b),96887.0
128,전주시 덕진구,20210909,목요일,외지인(b),85358.0
129,전주시 덕진구,20210915,수요일,외지인(b),91374.5
130,전주시 덕진구,20210920,월요일,외지인(b),132391.0
131,전주시 덕진구,20210903,금요일,외지인(b),80790.5
132,전주시 덕진구,20210908,수요일,외지인(b),81298.0
133,전주시 덕진구,20210914,화요일,외지인(b),89988.5
134,전주시 덕진구,20210902,목요일,외지인(b),72408.0
135,전주시 덕진구,20210829,일요일,외지인(b),79100.0
136,전주시 덕진구,20210830,월요일,외지인(b),84458.5
137,전주시 덕진구,20210907,화요일,외지인(b),76219.5
138,전주시 덕진구,20210926,일요일,외지인(b),88858.0
139,전주시 덕진구,20210927,월요일,외지인(b),90664.0
