도시이름,날짜,요일한글,방문객한글,방문자수
전주시 완산구,20210101,금요일,외지인(b),71953 
전주시 완산구,20210102,토요일,외지인(b),89464 
전주시 완산구,20210103,일요일,외지인(b),66521 
전주시 완산구,20210104,월요일,외지인(b),66560 
전주시 완산구,20210105,화요일,외지인(b),66672 
전주시 완산구,20210106,수요일,외지인(b),66952 
전주시 완산구,20210107,목요일,외지인(b),49084 
전주시 완산구,20210108,금요일,외지인(b),63760 
전주시 완산구,20210109,토요일,외지인(b),82478 
전주시 완산구,20210110,일요일,외지인(b),64197 
전주시 완산구,20210111,월요일,외지인(b),69314 
전주시 완산구,20210112,화요일,외지인(b),71222 
전주시 완산구,20210113,수요일,외지인(b),74998 
전주시 완산구,20210114,목요일,외지인(b),77896 
전주시 완산구,20210115,금요일,외지인(b),85299 
전주시 완산구,20210116,토요일,외지인(b),107349 
전주시 완산구,20210117,일요일,외지인(b),81452 
전주시 완산구,20210118,월요일,외지인(b),66619 
전주시 완산구,20210119,화요일,외지인(b),78726 
전주시 완산구,20210120,수요일,외지인(b),83083 
전주시 완산구,20210121,목요일,외지인(b),81144 
전주시 완산구,20210122,금요일,외지인(b),89782 
전주시 완산구,20210123,토요일,외지인(b),111738 
전주시 완산구,20210124,일요일,외지인(b),92572 
전주시 완산구,20210125,월요일,외지인(b),86632 
전주시 완산구,20210126,화요일,외지인(b),82611 
전주시 완산구,20210127,수요일,외지인(b),88260 
전주시 완산구,20210128,목요일,외지인(b),81015 
전주시 완산구,20210129,금요일,외지인(b),91287 
전주시 완산구,20210130,토요일,외지인(b),116638 
전주시 완산구,20210131,일요일,외지인(b),98137 
전주시 완산구,20210201,월요일,외지인(b),68618 
전주시 완산구,20210202,화요일,외지인(b),70994 
전주시 완산구,20210203,수요일,외지인(b),73157 
전주시 완산구,20210204,목요일,외지인(b),74074 
전주시 완산구,20210205,금요일,외지인(b),86916 
전주시 완산구,20210206,토요일,외지인(b),108696 
전주시 완산구,20210207,일요일,외지인(b),90650 
전주시 완산구,20210208,월요일,외지인(b),82233 
전주시 완산구,20210209,화요일,외지인(b),87959 
전주시 완산구,20210210,수요일,외지인(b),103863 
전주시 완산구,20210211,목요일,외지인(b),122840 
전주시 완산구,20210212,금요일,외지인(b),137365 
전주시 완산구,20210213,토요일,외지인(b),133371 
전주시 완산구,20210214,일요일,외지인(b),97342 
전주시 완산구,20210215,월요일,외지인(b),85922 
전주시 완산구,20210216,화요일,외지인(b),82373 
전주시 완산구,20210217,수요일,외지인(b),78106 
전주시 완산구,20210218,목요일,외지인(b),86485 
전주시 완산구,20210219,금요일,외지인(b),103698 
전주시 완산구,20210220,토요일,외지인(b),129080 
전주시 완산구,20210221,일요일,외지인(b),110100 
전주시 완산구,20210222,월요일,외지인(b),96247 
전주시 완산구,20210223,화요일,외지인(b),94903 
전주시 완산구,20210224,수요일,외지인(b),95064 
전주시 완산구,20210225,목요일,외지인(b),94514 
전주시 완산구,20210226,금요일,외지인(b),107954 
전주시 완산구,20210227,토요일,외지인(b),138828 
전주시 완산구,20210228,일요일,외지인(b),134810 
전주시 완산구,20210301,월요일,외지인(b),87738 
전주시 완산구,20210302,화요일,외지인(b),81463 
전주시 완산구,20210303,수요일,외지인(b),84375 
전주시 완산구,20210304,목요일,외지인(b),82446 
전주시 완산구,20210305,금요일,외지인(b),95879 
전주시 완산구,20210306,토요일,외지인(b),119609 
전주시 완산구,20210307,일요일,외지인(b),99253 
전주시 완산구,20210308,월요일,외지인(b),87525 
전주시 완산구,20210309,화요일,외지인(b),89908 
전주시 완산구,20210310,수요일,외지인(b),92197 
전주시 완산구,20210311,목요일,외지인(b),93055 
전주시 완산구,20210312,금요일,외지인(b),101392 
전주시 완산구,20210313,토요일,외지인(b),132878 
전주시 완산구,20210314,일요일,외지인(b),107041 
전주시 완산구,20210315,월요일,외지인(b),94367 
전주시 완산구,20210316,화요일,외지인(b),94927 
전주시 완산구,20210317,수요일,외지인(b),95697 
전주시 완산구,20210318,목요일,외지인(b),97398 
전주시 완산구,20210319,금요일,외지인(b),108462 
전주시 완산구,20210320,토요일,외지인(b),130113 
전주시 완산구,20210321,일요일,외지인(b),109771 
전주시 완산구,20210322,월요일,외지인(b),94577 
전주시 완산구,20210323,화요일,외지인(b),96912 
전주시 완산구,20210324,수요일,외지인(b),98389 
전주시 완산구,20210325,목요일,외지인(b),100345 
전주시 완산구,20210326,금요일,외지인(b),113166 
전주시 완산구,20210327,토요일,외지인(b),132332 
전주시 완산구,20210328,일요일,외지인(b),108819 
전주시 완산구,20210329,월요일,외지인(b),99201 
전주시 완산구,20210330,화요일,외지인(b),99607 
전주시 완산구,20210331,수요일,외지인(b),102358 
전주시 완산구,20210401,목요일,외지인(b),70609 
전주시 완산구,20210402,금요일,외지인(b),83934 
전주시 완산구,20210403,토요일,외지인(b),106834 
전주시 완산구,20210404,일요일,외지인(b),88484 
전주시 완산구,20210405,월요일,외지인(b),72317 
전주시 완산구,20210406,화요일,외지인(b),71131 
전주시 완산구,20210407,수요일,외지인(b),71400 
전주시 완산구,20210408,목요일,외지인(b),74284 
전주시 완산구,20210409,금요일,외지인(b),85677 
전주시 완산구,20210410,토요일,외지인(b),122367 
