,도시이름,날짜,요일한글,방문객한글,방문자수
0,전주시 완산구,20210506,목요일,외지인(b),88343.5
1,전주시 완산구,20210507,금요일,외지인(b),101780.0
2,전주시 완산구,20210504,화요일,외지인(b),87251.5
3,전주시 완산구,20210508,토요일,외지인(b),145120.5
4,전주시 완산구,20210505,수요일,외지인(b),112066.5
5,전주시 완산구,20210509,일요일,외지인(b),115258.5
6,전주시 완산구,20210510,월요일,외지인(b),78935.5
7,전주시 완산구,20210616,수요일,외지인(b),85935.5
8,전주시 완산구,20210615,화요일,외지인(b),80822.0
9,전주시 완산구,20210618,금요일,외지인(b),102406.5
10,전주시 완산구,20210619,토요일,외지인(b),139440.0
11,전주시 완산구,20210617,목요일,외지인(b),87192.0
12,전주시 완산구,20210620,일요일,외지인(b),113533.0
13,전주시 완산구,20210621,월요일,외지인(b),88032.0
14,전주시 완산구,20210605,토요일,외지인(b),133077.0
15,전주시 완산구,20210623,수요일,외지인(b),87454.5
16,전주시 완산구,20210622,화요일,외지인(b),87248.0
17,전주시 완산구,20210606,일요일,외지인(b),102704.0
18,전주시 완산구,20210607,월요일,외지인(b),78428.0
19,전주시 완산구,20210608,화요일,외지인(b),78001.0
20,전주시 완산구,20210609,수요일,외지인(b),79667.0
21,전주시 완산구,20210610,목요일,외지인(b),79894.5
22,전주시 완산구,20210612,토요일,외지인(b),127557.5
23,전주시 완산구,20210611,금요일,외지인(b),93716.0
24,전주시 완산구,20210614,월요일,외지인(b),81707.5
25,전주시 완산구,20210613,일요일,외지인(b),103589.5
26,전주시 완산구,20210702,금요일,외지인(b),95669.0
27,전주시 완산구,20210704,일요일,외지인(b),102403.0
28,전주시 완산구,20210703,토요일,외지인(b),122279.5
29,전주시 완산구,20210706,화요일,외지인(b),77784.0
30,전주시 완산구,20210705,월요일,외지인(b),79786.0
31,전주시 완산구,20210707,수요일,외지인(b),81004.0
32,전주시 완산구,20210709,금요일,외지인(b),101199.0
33,전주시 완산구,20210708,목요일,외지인(b),85445.5
34,전주시 완산구,20210710,토요일,외지인(b),134361.5
35,전주시 완산구,20210711,일요일,외지인(b),108384.5
36,전주시 완산구,20210624,목요일,외지인(b),90489.0
37,전주시 완산구,20210625,금요일,외지인(b),106134.0
38,전주시 완산구,20210626,토요일,외지인(b),137165.0
39,전주시 완산구,20210627,일요일,외지인(b),111860.0
40,전주시 완산구,20210629,화요일,외지인(b),90996.5
41,전주시 완산구,20210628,월요일,외지인(b),90478.5
42,전주시 완산구,20210701,목요일,외지인(b),79201.5
43,전주시 완산구,20210630,수요일,외지인(b),93089.5
44,전주시 완산구,20210526,수요일,외지인(b),85494.5
45,전주시 완산구,20210525,화요일,외지인(b),85505.0
46,전주시 완산구,20210527,목요일,외지인(b),86432.5
47,전주시 완산구,20210528,금요일,외지인(b),98311.5
48,전주시 완산구,20210530,일요일,외지인(b),112476.0
49,전주시 완산구,20210529,토요일,외지인(b),139107.5
50,전주시 완산구,20210531,월요일,외지인(b),85949.5
51,전주시 완산구,20210601,화요일,외지인(b),73038.0
52,전주시 완산구,20210602,수요일,외지인(b),73944.5
53,전주시 완산구,20210603,목요일,외지인(b),72317.0
54,전주시 완산구,20210604,금요일,외지인(b),92813.0
55,전주시 완산구,20210517,월요일,외지인(b),82869.5
56,전주시 완산구,20210518,화요일,외지인(b),96778.5
57,전주시 완산구,20210520,목요일,외지인(b),86145.5
58,전주시 완산구,20210519,수요일,외지인(b),110607.0
59,전주시 완산구,20210523,일요일,외지인(b),109305.0
60,전주시 완산구,20210522,토요일,외지인(b),141235.5
61,전주시 완산구,20210521,금요일,외지인(b),100142.0
62,전주시 완산구,20210524,월요일,외지인(b),85092.0
63,전주시 완산구,20210730,금요일,외지인(b),111993.0
