,도시이름,날짜,요일한글,방문객한글,방문자수
0,정읍시,20210116,토요일,외지인(b),26327.0
1,정읍시,20210115,금요일,외지인(b),21133.0
2,정읍시,20210114,목요일,외지인(b),19827.5
3,정읍시,20210121,목요일,외지인(b),21437.5
4,정읍시,20210117,일요일,외지인(b),22711.5
5,정읍시,20210119,화요일,외지인(b),19488.0
6,정읍시,20210118,월요일,외지인(b),15477.0
7,정읍시,20210120,수요일,외지인(b),21276.5
8,정읍시,20210122,금요일,외지인(b),22494.5
9,정읍시,20210104,월요일,외지인(b),17461.5
10,정읍시,20210105,화요일,외지인(b),17472.0
11,정읍시,20210107,목요일,외지인(b),10587.5
12,정읍시,20210106,수요일,외지인(b),16758.0
13,정읍시,20210108,금요일,외지인(b),14028.0
14,정읍시,20210109,토요일,외지인(b),18921.0
15,정읍시,20210110,일요일,외지인(b),17605.0
16,정읍시,20210111,월요일,외지인(b),16408.0
17,정읍시,20210113,수요일,외지인(b),18658.5
18,정읍시,20210112,화요일,외지인(b),17118.5
19,정읍시,20210201,월요일,외지인(b),17363.5
20,정읍시,20210203,수요일,외지인(b),17990.0
21,정읍시,20210202,화요일,외지인(b),17993.5
22,정읍시,20210205,금요일,외지인(b),21241.5
23,정읍시,20210204,목요일,외지인(b),18637.5
24,정읍시,20210206,토요일,외지인(b),26876.5
25,정읍시,20210208,월요일,외지인(b),20681.5
26,정읍시,20210207,일요일,외지인(b),24556.0
27,정읍시,20210209,화요일,외지인(b),21836.5
28,정읍시,20210210,수요일,외지인(b),29400.0
29,정읍시,20210123,토요일,외지인(b),26932.5
30,정읍시,20210125,월요일,외지인(b),22050.0
31,정읍시,20210124,일요일,외지인(b),26488.0
32,정읍시,20210126,화요일,외지인(b),20111.0
33,정읍시,20210127,수요일,외지인(b),22557.5
34,정읍시,20210128,목요일,외지인(b),20128.5
35,정읍시,20210129,금요일,외지인(b),20580.0
36,정읍시,20210131,일요일,외지인(b),25784.5
37,정읍시,20210130,토요일,외지인(b),27751.5
38,정읍시,20210102,토요일,외지인(b),26043.5
39,정읍시,20210101,금요일,외지인(b),24892.0
40,정읍시,20210103,일요일,외지인(b),20517.0
41,정읍시,20210222,월요일,외지인(b),23971.5
42,정읍시,20210226,금요일,외지인(b),26715.5
43,정읍시,20210223,화요일,외지인(b),23887.5
44,정읍시,20210227,토요일,외지인(b),37229.5
45,정읍시,20210213,토요일,외지인(b),48643.0
46,정읍시,20210212,금요일,외지인(b),69741.0
47,정읍시,20210301,월요일,외지인(b),20835.5
48,정읍시,20210211,목요일,외지인(b),51642.5
49,정읍시,20210228,일요일,외지인(b),36239.0
50,정읍시,20210214,일요일,외지인(b),28238.0
51,정읍시,20210215,월요일,외지인(b),20506.5
52,정읍시,20210219,금요일,외지인(b),23194.5
53,정읍시,20210218,목요일,외지인(b),18165.0
54,정읍시,20210217,수요일,외지인(b),15613.5
55,정읍시,20210216,화요일,외지인(b),20219.5
56,정읍시,20210220,토요일,외지인(b),30135.0
57,정읍시,20210221,일요일,외지인(b),28259.0
58,정읍시,20210225,목요일,외지인(b),23327.5
59,정읍시,20210224,수요일,외지인(b),24349.5
60,정읍시,20210331,수요일,외지인(b),29316.0
61,정읍시,20210401,목요일,외지인(b),22680.0
62,정읍시,20210402,금요일,외지인(b),26652.5
63,정읍시,20210403,토요일,외지인(b),31853.5
64,정읍시,20210405,월요일,외지인(b),23961.0
65,정읍시,20210404,일요일,외지인(b),29011.5
66,정읍시,20210408,목요일,외지인(b),23107.0
67,정읍시,20210406,화요일,외지인(b),22424.5
68,정읍시,20210407,수요일,외지인(b),21945.0
69,정읍시,20210322,월요일,외지인(b),24916.5
70,정읍시,20210321,일요일,외지인(b),29963.5
71,정읍시,20210323,화요일,외지인(b),26505.5
72,정읍시,20210325,목요일,외지인(b),27048.0
73,정읍시,20210324,수요일,외지인(b),26197.5
74,정읍시,20210326,금요일,외지인(b),29816.5
75,정읍시,20210328,일요일,외지인(b),32599.0
76,정읍시,20210327,토요일,외지인(b),33530.0
77,정읍시,20210330,화요일,외지인(b),28588.0
78,정읍시,20210329,월요일,외지인(b),26726.0
79,정읍시,20210418,일요일,외지인(b),31713.5
80,정읍시,20210417,토요일,외지인(b),34580.0
81,정읍시,20210420,화요일,외지인(b),23296.0
82,정읍시,20210419,월요일,외지인(b),22015.0
83,정읍시,20210422,목요일,외지인(b),23978.5
84,정읍시,20210421,수요일,외지인(b),23814.0
85,정읍시,20210423,금요일,외지인(b),27212.5
86,정읍시,20210425,일요일,외지인(b),34506.5
87,정읍시,20210424,토요일,외지인(b),38066.0
88,정읍시,20210427,화요일,외지인(b),24426.5
89,정읍시,20210426,월요일,외지인(b),24727.5
90,정읍시,20210409,금요일,외지인(b),26474.0
91,정읍시,20210411,일요일,외지인(b),34601.0
92,정읍시,20210410,토요일,외지인(b),38752.0
93,정읍시,20210414,수요일,외지인(b),22400.0
94,정읍시,20210413,화요일,외지인(b),20580.0
95,정읍시,20210412,월요일,외지인(b),19456.5
96,정읍시,20210416,금요일,외지인(b),24829.0
97,정읍시,20210415,목요일,외지인(b),23786.0
98,정읍시,20210311,목요일,외지인(b),23852.5
99,정읍시,20210310,수요일,외지인(b),23975.0
100,정읍시,20210313,토요일,외지인(b),33036.5
101,정읍시,20210312,금요일,외지인(b),23961.0
102,정읍시,20210315,월요일,외지인(b),24286.5
103,정읍시,20210314,일요일,외지인(b),29729.0
104,정읍시,20210316,화요일,외지인(b),24500.0
105,정읍시,20210318,목요일,외지인(b),25172.0
106,정읍시,20210317,수요일,외지인(b),24944.5
107,정읍시,20210319,금요일,외지인(b),27562.5
108,정읍시,20210320,토요일,외지인(b),30030.0
109,정읍시,20210303,수요일,외지인(b),21507.5
110,정읍시,20210302,화요일,외지인(b),19705.0
111,정읍시,20210306,토요일,외지인(b),29323.0
112,정읍시,20210304,목요일,외지인(b),20538.0
113,정읍시,20210305,금요일,외지인(b),23730.0
114,정읍시,20210308,월요일,외지인(b),22260.0
115,정읍시,20210307,일요일,외지인(b),26694.5
116,정읍시,20210309,화요일,외지인(b),23327.5
117,정읍시,20210513,목요일,외지인(b),23478.0
118,정읍시,20210511,화요일,외지인(b),20993.0
119,정읍시,20210515,토요일,외지인(b),32627.0
120,정읍시,20210514,금요일,외지인(b),25536.0
121,정읍시,20210512,수요일,외지인(b),22473.5
122,정읍시,20210516,일요일,외지인(b),27072.5
123,정읍시,20210501,토요일,외지인(b),36578.5
124,정읍시,20210430,금요일,외지인(b),28528.5
125,정읍시,20210429,목요일,외지인(b),24734.5
126,정읍시,20210428,수요일,외지인(b),24507.0
127,정읍시,20210503,월요일,외지인(b),23751.0
128,정읍시,20210502,일요일,외지인(b),33260.5
