,도시이름,날짜,요일한글,방문객한글,방문자수,최대순간풍향/풍속(m/s)(시각),최저기온(시각),최고기온(시각),일강우량,최저습도(시각),최고습도(시각),최저기압(시각),최고기압(시각)
0,군산시,01월 01일,금요일,외지인(b),59262,292.5 / WNW6.8,-8.4,2.9,0.6,51,95,1025.2,1028.8
1,군산시,01월 02일,토요일,외지인(b),64026,329.1 / NNW7.4,-5.3,1.5,0.1,42,96,1026,1033.3
2,군산시,01월 03일,일요일,외지인(b),50187,357.2 / N4.8,-6.7,0.1,0,45,80,1033.1,1036.2
3,군산시,01월 04일,월요일,외지인(b),35308,90.0 / E5.6,-5.8,3.4,0,45,80,1028.7,1034.9
4,군산시,01월 05일,화요일,외지인(b),35046,331.9 / NNW7.8,-5.8,1.9,0.1,43,92,1028.2,1033.2
5,군산시,01월 06일,수요일,외지인(b),35798,300.9 / WNW15.8,-8.3,-0.5,1.1,49,95,1020,1030.8
6,군산시,01월 07일,목요일,외지인(b),23664,289.7 / WNW17.1,-14.7,-1.9,4.4,47,92,1021.4,1029.1
7,군산시,01월 08일,금요일,외지인(b),29925,2.8 / N5.2,-16.8,-8.3,0.2,46,83,1024.3,1028.1
8,군산시,01월 09일,토요일,외지인(b),41374,334.7 / NNW5.1,-15.3,-5.8,0,34,83,1024.3,1028.2
9,군산시,01월 10일,일요일,외지인(b),40355,78.8 / E4.6,-14.3,-0.5,0,33,89,1027.1,1030
10,군산시,01월 11일,월요일,외지인(b),36575,33.8 / NE4.5,-7.3,-1.6,0,52,73,1023.4,1031
11,군산시,01월 12일,화요일,외지인(b),35501,180.0 / S6.9,-7.8,2.9,1.5,58,96,1016.9,1023.5
12,군산시,01월 13일,수요일,외지인(b),39365,208.1 / SSW9.0,-0.3,10.6,0,52,98,1014.5,1020.2
13,군산시,01월 14일,목요일,외지인(b),42532,5.6 / N5.1,-0.8,10.8,0,23,99,1019.9,1024.6
14,군산시,01월 15일,금요일,외지인(b),46211,199.7 / SSW9.4,0.4,13.4,0,58,95,1014.6,1020.9
15,군산시,01월 16일,토요일,외지인(b),61894,323.4 / NW9.8,-4.1,2.4,0,53,79,1020.4,1030.7
16,군산시,01월 17일,일요일,외지인(b),53841,306.6 / NW6.1,-7.4,1.2,0,36,81,1025.3,1032.2
17,군산시,01월 18일,월요일,외지인(b),33408,309.4 / NW13.6,-2.7,6,4,40,98,1019.1,1029
18,군산시,01월 19일,화요일,외지인(b),40772,340.3 / NNW6.1,-8.9,0.3,0,30,73,1028.8,1034.6
19,군산시,01월 20일,수요일,외지인(b),44303,140.6 / SE5.0,-5.9,10.1,0,23,61,1027.6,1032.7
20,군산시,01월 21일,목요일,외지인(b),44055,118.1 / ESE4.5,1.5,9.5,8.6,47,99,1019.9,1027.7
21,군산시,01월 22일,금요일,외지인(b),47509,67.5 / ENE5.1,5.7,11.6,2.3,80,99,1017.9,1020.6
22,군산시,01월 23일,토요일,외지인(b),66164,45.0 / NE6.8,6.1,12.7,0,65,98,1016.1,1021.5
23,군산시,01월 24일,일요일,외지인(b),66367,47.8 / NE6.2,4.9,13.6,0,43,81,1021.3,1028.7
24,군산시,01월 25일,월요일,외지인(b),47936,306.6 / NW6.2,4,13.5,0,42,90,1023,1028.7
25,군산시,01월 26일,화요일,외지인(b),44800,295.3 / WNW8.8,3.3,7.6,4.2,83,99,1018.7,1023.1
26,군산시,01월 27일,수요일,외지인(b),46802,334.7 / NNW6.7,0.1,8.5,0,20,97,1021.6,1026.3
27,군산시,01월 28일,목요일,외지인(b),41622,303.8 / NW16.1,-5.2,4.2,1.7,35,93,1015.5,1025.7
28,군산시,01월 29일,금요일,외지인(b),46267,329.1 / NNW10.6,-7.4,-0.4,0,46,80,1025.6,1028.8
29,군산시,01월 30일,토요일,외지인(b),66416,320.6 / NW8.8,-5.8,8.6,0,54,98,1025.2,1029.5
30,군산시,01월 31일,일요일,외지인(b),63599,182.8 / S7.9,-2.9,13.2,0,45,99,1021.8,1030.3
31,군산시,02월 01일,월요일,외지인(b),36838,306.6 / NW9.0,2.4,11.1,3.6,70,99,1015,1023.4
32,군산시,02월 02일,화요일,외지인(b),37125,340.3 / NNW9.8,-4.1,2.3,0.3,31,91,1023.4,1029.2
33,군산시,02월 03일,수요일,외지인(b),37727,149.1 / SSE6.1,-7.4,4.7,1.3,32,97,1022.9,1030.3
34,군산시,02월 04일,목요일,외지인(b),38763,326.3 / NNW9.1,-2.7,4.3,0.6,31,97,1023.1,1030.9
35,군산시,02월 05일,금요일,외지인(b),44412,225.0 / SW5.5,-4,8.8,0,22,81,1019.1,1028.6
36,군산시,02월 06일,토요일,외지인(b),62584,202.5 / SSW6.1,1,9.6,0,42,95,1016.5,1019.5
37,군산시,02월 07일,일요일,외지인(b),52924,303.8 / NW7.1,0.4,7.7,0,47,99,1018.6,1026.6
38,군산시,02월 08일,월요일,외지인(b),40968,326.3 / NNW11.0,-4,2.8,0,27,74,1026.3,1031.7
39,군산시,02월 09일,화요일,외지인(b),45392,255.9 / WSW5.8,-6.1,4.3,0,42,84,1028,1032
40,군산시,02월 10일,수요일,외지인(b),58632,244.7 / WSW4.9,-4.5,9.1,0,54,91,1025.1,1029
41,군산시,02월 11일,목요일,외지인(b),93324,59.1 / ENE6.1,-0.3,11.2,0,42,99,1023.7,1027.8
42,군산시,02월 12일,금요일,외지인(b),121314,267.2 / W5.5,0.3,14.2,0,27,99,1024.2,1026.2
43,군산시,02월 13일,토요일,외지인(b),114499,270.0 / W4.7,-1,16.4,0,15,99,1021.8,1027.8
44,군산시,02월 14일,일요일,외지인(b),69370,295.3 / WNW4.5,2.6,15.2,0.7,37,91,1011.8,1021.8
45,군산시,02월 15일,월요일,외지인(b),44741,286.9 / WNW13.9,-0.4,6.5,0.3,52,99,1010.7,1019.2
46,군산시,02월 16일,화요일,외지인(b),42235,340.3 / NNW9.9,-4.3,2.9,2,43,97,1013.3,1020.1
47,군산시,02월 17일,수요일,외지인(b),36512,334.7 / NNW13.0,-6.7,-2.8,1.7,50,90,1019.6,1022.7
48,군산시,02월 18일,목요일,외지인(b),42298,337.5 / NNW12.3,-6.5,0.7,0,45,78,1022.4,1025.3
49,군산시,02월 19일,금요일,외지인(b),52066,202.5 / SSW10.0,-5.6,10,0,53,91,1014.1,1025.3
50,군산시,02월 20일,토요일,외지인(b),72240,208.1 / SSW13.2,5.1,14.5,0,55,97,1010.6,1014.1
51,군산시,02월 21일,일요일,외지인(b),73178,208.1 / SSW11.6,6.3,19.9,0,33,93,1010.9,1013.4
52,군산시,02월 22일,월요일,외지인(b),50719,295.3 / WNW9.1,1.2,13.6,0,52,96,1010.9,1024.4
53,군산시,02월 23일,화요일,외지인(b),50673,199.7 / SSW5.8,-2.6,7.6,0,34,69,1024.4,1029
54,군산시,02월 24일,수요일,외지인(b),52672,295.3 / WNW5.3,-1.7,7.9,0,26,91,1023.6,1027.7
55,군산시,02월 25일,목요일,외지인(b),50351,300.9 / WNW6.8,-0.6,7.2,3.4,45,95,1021.8,1026
56,군산시,02월 26일,금요일,외지인(b),60512,101.3 / ESE7.7,4.9,15.8,0,23,84,1019.9,1025.3
57,군산시,02월 27일,토요일,외지인(b),92775,70.3 / ENE7.8,6.1,15.2,0,31,60,1025,1029
58,군산시,02월 28일,일요일,외지인(b),103509,146.3 / SSE6.9,3.8,11.7,0,39,88,1021.9,1028.7
59,군산시,03월 01일,월요일,외지인(b),59672,300.9 / WNW11.0,4.7,16,48.1,86,99,1009,1021.9
60,군산시,03월 02일,화요일,외지인(b),46211,315.0 / NW8.7,0.6,7.8,0,55,91,1014.9,1030.5
61,군산시,03월 03일,수요일,외지인(b),48948,154.7 / SSE4.3,-1.7,9.8,0,36,98,1027.9,1032.4
62,군산시,03월 04일,목요일,외지인(b),50264,75.9 / ENE4.8,2.8,10.9,2,52,90,1021.7,1028.1
63,군산시,03월 05일,금요일,외지인(b),53480,278.4 / W6.0,3.4,15.9,0,48,96,1018.7,1024
64,군산시,03월 06일,토요일,외지인(b),73196,59.1 / ENE5.9,2.9,12.3,0,66,99,1023.8,1029.2
65,군산시,03월 07일,일요일,외지인(b),69255,45.0 / NE5.8,4.3,11.1,0,60,94,1026.9,1030.2
66,군산시,03월 08일,월요일,외지인(b),52042,284.1 / WNW6.9,2.3,12.2,0,48,97,1026.2,1029.9
67,군산시,03월 09일,화요일,외지인(b),54576,331.9 / NNW6.5,2.7,10.3,0,50,95,1025.1,1028.7
68,군산시,03월 10일,수요일,외지인(b),54541,295.3 / WNW5.5,0.6,13.8,0,41,90,1027.4,1030.7
69,군산시,03월 11일,목요일,외지인(b),56935,326.3 / NNW5.5,2.2,17.2,0,36,97,1023.2,1030.1
70,군산시,03월 12일,금요일,외지인(b),55346,326.3 / NNW6.4,6.6,10.7,8.1,74,97,1019.6,1023.4
71,군산시,03월 13일,토요일,외지인(b),82079,300.9 / WNW7.0,3.3,14.5,0,52,99,1020.9,1024
72,군산시,03월 14일,일요일,외지인(b),75478,258.8 / W6.0,3.7,11.5,0,67,99,1020.2,1023.8
73,군산시,03월 15일,월요일,외지인(b),55402,292.5 / WNW6.5,0.9,18.6,0.1,37,99,1014.4,1021
74,군산시,03월 16일,화요일,외지인(b),57614,298.1 / WNW7.9,2.6,13.2,0.7,29,99,1013.5,1019.8
75,군산시,03월 17일,수요일,외지인(b),57547,295.3 / WNW6.4,-0.1,12.2,0,40,91,1018.7,1021.8
76,군산시,03월 18일,목요일,외지인(b),60018,300.9 / WNW7.5,2.3,17,0,41,94,1018,1022
77,군산시,03월 19일,금요일,외지인(b),64666,286.9 / WNW6.0,6.9,18.4,0,43,80,1016.4,1021.4
78,군산시,03월 20일,토요일,외지인(b),75485,323.4 / NW7.2,5.9,10.4,5,67,98,1012.2,1016.8
79,군산시,03월 21일,일요일,외지인(b),74557,306.6 / NW13.7,4.7,9.1,0,52,87,1014.8,1022.3
80,군산시,03월 22일,월요일,외지인(b),55612,300.9 / WNW9.2,2.6,10.6,0,45,88,1021.9,1025.7
81,군산시,03월 23일,화요일,외지인(b),57152,225.0 / SW8.4,3.5,15.2,0,52,93,1021.2,1024.8
82,군산시,03월 24일,수요일,외지인(b),58272,182.8 / S6.9,3.8,17,0,26,88,1018.9,1023.4
83,군산시,03월 25일,목요일,외지인(b),62979,292.5 / WNW6.9,4.9,16.3,0,52,99,1020.5,1023.8
84,군산시,03월 26일,금요일,외지인(b),68660,247.5 / WSW4.9,3.7,17.7,0,38,99,1018.4,1024.6
85,군산시,03월 27일,토요일,외지인(b),76566,120.9 / ESE8.5,7.9,15.6,27,46,99,1003.3,1019.3
86,군산시,03월 28일,일요일,외지인(b),71736,219.4 / SW10.0,8.3,13.8,0.8,83,99,1003.6,1007.8
87,군산시,03월 29일,월요일,외지인(b),61110,247.5 / WSW8.7,7.8,14.9,0.1,52,99,1007.8,1012.1
88,군산시,03월 30일,화요일,외지인(b),64015,267.2 / W6.4,5.7,16.9,0,25,95,1011.6,1015
89,군산시,03월 31일,수요일,외지인(b),65597,292.5 / WNW5.8,4.7,22.8,0,16,80,1012.7,1015.9
90,군산시,04월 01일,목요일,외지인(b),44468,109.7 / ESE7.7,6.9,23.1,0,25,78,1015.3,1018.8
91,군산시,04월 02일,금요일,외지인(b),53494,92.8 / E7.9,13,23.6,0,36,61,1016.4,1020.1
92,군산시,04월 03일,토요일,외지인(b),68863,149.1 / SSE7.4,11.2,19.2,16.3,57,99,1009.1,1016.9
93,군산시,04월 04일,일요일,외지인(b),61803,47.8 / NE6.1,8.4,14.9,1.9,68,99,1010.1,1020.6
94,군산시,04월 05일,월요일,외지인(b),43432,281.3 / WNW8.1,6.5,17.7,0,25,91,1020.5,1024.5
95,군산시,04월 06일,화요일,외지인(b),43551,298.1 / WNW11.1,5.7,16,0,33,85,1020,1023.2
