,도시이름,날짜,요일한글,방문객한글,방문자수,최대순간풍향/풍속(m/s)(시각),최저기온(시각),최고기온(시각),일강우량,최저습도(시각),최고습도(시각),최저기압(시각),최고기압(시각)
0,김제시,01-01,금요일,외지인(b),24406,272.8 / W8.0,-8.4,3.3,0.0,46,94,,
1,김제시,01-02,토요일,외지인(b),25995,329.1 / NNW9.1,-3.9,0.8,0.0,33,94,,
2,김제시,01-03,일요일,외지인(b),22351,59.1 / ENE6.6,-5.5,0.0,0.0,39,68,,
3,김제시,01-04,월요일,외지인(b),18893,84.4 / E6.2,-7.0,3.1,0.0,43,88,,
4,김제시,01-05,화요일,외지인(b),19936,334.7 / NNW8.0,-6.0,2.7,0.0,42,87,,
5,김제시,01-06,수요일,외지인(b),19107,295.3 / WNW18.5,-7.4,-1.0,0.0,44,96,,
6,김제시,01-07,목요일,외지인(b),12478,298.1 / WNW17.3,-15.0,-2.9,0.0,44,95,,
7,김제시,01-08,금요일,외지인(b),15799,61.9 / ENE7.1,-17.1,-10.1,0.0,44,74,,
8,김제시,01-09,토요일,외지인(b),21032,16.9 / NNE6.9,-17.2,-6.3,0.0,35,80,,
9,김제시,01-10,일요일,외지인(b),21189,64.7 / ENE4.6,-14.0,-1.0,0.0,30,83,,
10,김제시,01-11,월요일,외지인(b),17966,11.3 / NNE5.5,-7.3,-1.9,0.0,46,77,,
11,김제시,01-12,화요일,외지인(b),19691,236.3 / WSW7.7,-9.3,3.4,0.0,46,96,,
12,김제시,01-13,수요일,외지인(b),21732,222.2 / SW8.4,0.0,9.9,0.0,45,90,,
13,김제시,01-14,목요일,외지인(b),22995,53.4 / NE5.2,-1.5,10.1,0.0,28,96,,
14,김제시,01-15,금요일,외지인(b),24584,284.1 / WNW11.6,1.8,12.9,0.0,57,94,,
15,김제시,01-16,토요일,외지인(b),30377,323.4 / NW12.0,-4.5,2.0,0.0,48,81,,
16,김제시,01-17,일요일,외지인(b),27850,286.9 / WNW7.1,-6.7,0.8,0.0,34,89,,
17,김제시,01-18,월요일,외지인(b),17444,312.2 / NW14.3,-3.4,4.9,1.5,39,96,,
18,김제시,01-19,화요일,외지인(b),21592,351.6 / N9.8,-9.1,0.1,0.0,19,69,,
19,김제시,01-20,수요일,외지인(b),24126,98.4 / E5.3,-7.1,10.0,0.0,20,71,,
20,김제시,01-21,목요일,외지인(b),23069,61.9 / ENE5.0,1.3,9.8,4.5,51,96,,
21,김제시,01-22,금요일,외지인(b),24185,281.3 / WNW5.1,5.6,11.0,0.0,85,96,,
22,김제시,01-23,토요일,외지인(b),32792,61.9 / ENE7.4,5.9,12.8,0.0,64,96,,
23,김제시,01-24,일요일,외지인(b),33345,73.1 / ENE6.5,3.6,13.7,0.0,37,85,,
24,김제시,01-25,월요일,외지인(b),25050,284.1 / WNW7.5,3.1,13.8,0.0,36,89,,
25,김제시,01-26,화요일,외지인(b),21903,340.3 / NNW10.0,3.7,8.7,2.5,74,96,,
26,김제시,01-27,수요일,외지인(b),24430,11.3 / NNE9.2,0.1,8.0,0.0,17,96,,
27,김제시,01-28,목요일,외지인(b),21735,315.0 / NW17.3,-5.7,5.0,0.5,40,96,,
28,김제시,01-29,금요일,외지인(b),23170,292.5 / WNW10.7,-8.1,-0.9,0.0,44,87,,
29,김제시,01-30,토요일,외지인(b),32431,278.4 / W11.4,-5.9,8.8,0.0,57,92,,
30,김제시,01-31,일요일,외지인(b),32085,160.3 / SSE9.8,-3.2,12.3,0.0,41,94,,
31,김제시,02-01,월요일,외지인(b),20153,253.1 / WSW9.7,2.2,11.7,1.0,61,96,,
32,김제시,02-02,화요일,외지인(b),21263,272.8 / W11.1,-4.4,2.3,0.0,29,92,,
33,김제시,02-03,수요일,외지인(b),21767,208.1 / SSW7.1,-7.2,4.3,0.0,18,90,,
34,김제시,02-04,목요일,외지인(b),22554,351.6 / N8.6,-2.8,3.7,1.0,32,96,,
35,김제시,02-05,금요일,외지인(b),25225,180.0 / S5.2,-4.7,8.6,0.0,23,76,,
36,김제시,02-06,토요일,외지인(b),32001,222.2 / SW7.9,1.6,10.0,0.0,34,96,,
37,김제시,02-07,일요일,외지인(b),31073,295.3 / WNW10.2,-0.1,9.2,0.0,53,96,,
38,김제시,02-08,월요일,외지인(b),23737,315.0 / NW12.3,-3.6,3.0,0.0,26,69,,
39,김제시,02-09,화요일,외지인(b),25834,295.3 / WNW7.0,-5.1,5.3,0.0,31,64,,
40,김제시,02-10,수요일,외지인(b),31409,284.1 / WNW7.0,-3.8,9.1,0.0,46,76,,
41,김제시,02-11,목요일,외지인(b),55153,28.1 / NNE5.6,-0.4,12.0,0.0,35,96,,
42,김제시,02-12,금요일,외지인(b),81298,323.4 / NW5.9,0.5,15.5,0.0,13,96,,
43,김제시,02-13,토요일,외지인(b),53834,284.1 / WNW5.1,-1.6,16.9,0.0,11,96,,
44,김제시,02-14,일요일,외지인(b),32949,306.6 / NW5.8,3.7,16.4,0.0,19,81,,
45,김제시,02-15,월요일,외지인(b),21532,306.6 / NW15.9,-0.8,6.8,0.0,47,96,,
46,김제시,02-16,화요일,외지인(b),22533,225.0 / SW16.1,-4.2,4.5,2.0,25,96,,
47,김제시,02-17,수요일,외지인(b),18183,323.4 / NW15.4,-6.9,-4.0,1.5,51,96,,
48,김제시,02-18,목요일,외지인(b),21312,323.4 / NW14.1,-7.9,-0.9,0.0,47,92,,
49,김제시,02-19,금요일,외지인(b),27391,230.6 / SW11.5,-3.3,9.6,0.0,41,75,,
50,김제시,02-20,토요일,외지인(b),37268,171.6 / S10.7,6.8,14.5,0.0,58,87,,
51,김제시,02-21,일요일,외지인(b),37629,216.6 / SW13.5,8.3,21.9,0.0,19,74,,
52,김제시,02-22,월요일,외지인(b),27797,278.4 / W13.6,0.6,16.7,0.0,44,76,,
53,김제시,02-23,화요일,외지인(b),27951,278.4 / W8.4,-2.4,7.5,0.0,21,65,,
54,김제시,02-24,수요일,외지인(b),28077,289.7 / WNW5.7,-1.8,10.1,0.0,17,77,,
55,김제시,02-25,목요일,외지인(b),25673,300.9 / WNW7.8,-0.6,6.7,2.5,51,96,,
56,김제시,02-26,금요일,외지인(b),30671,53.4 / NE13.0,3.9,15.4,0.0,16,96,,
57,김제시,02-27,토요일,외지인(b),42599,101.3 / ESE12.2,4.0,15.2,0.0,24,61,,
58,김제시,02-28,일요일,외지인(b),40485,109.7 / ESE7.9,1.8,10.9,0.0,37,96,,
59,김제시,03-01,월요일,외지인(b),22946,275.6 / W12.9,4.6,16.8,36.5,69,96,,
60,김제시,03-02,화요일,외지인(b),22061,306.6 / NW8.6,1.0,7.2,0.0,54,96,,
