,도시이름,날짜,요일한글,방문객한글,방문자수,최대순간풍향/풍속(m/s)(시각),최저기온(시각),최고기온(시각),일강우량,최저습도(시각),최고습도(시각),최저기압(시각),최고기압(시각)
0,부안군,01-01,금요일,외지인(b),30996,247.6 / WSW9.7,-8.6,4.1,0.1,52.0,97.0,1025.2,1028.6
1,부안군,01-02,토요일,외지인(b),30884,340.6 / NNW5.0,-6.2,1.4,0.3,45.0,98.0,1025.3,1032.8
2,부안군,01-03,일요일,외지인(b),23552,50.5 / NE4.5,-6.8,0.7,0.0,50.0,91.0,1032.8,1035.9
3,부안군,01-04,월요일,외지인(b),11767,33.7 / NNE4.6,-7.8,3.2,0.0,57.0,95.0,1028.5,1034.5
4,부안군,01-05,화요일,외지인(b),11393,323.7 / NW7.9,-4.1,3.3,0.2,52.0,97.0,1027.9,1032.9
5,부안군,01-06,수요일,외지인(b),11508,270.2 / W17.3,-6.6,0.4,1.5,54.0,99.0,1020.2,1030.7
6,부안군,01-07,목요일,외지인(b),6174,320.8 / NW14.5,-14.8,-1.9,9.2,55.0,95.0,1022.0,1029.1
7,부안군,01-08,금요일,외지인(b),7858,53.4 / NE4.6,-18.6,-9.0,0.0,55.0,88.0,1024.1,1027.8
8,부안군,01-09,토요일,외지인(b),14158,30.8 / NNE6.8,-17.3,-5.6,0.0,40.0,88.0,1023.6,1027.9
9,부안군,01-10,일요일,외지인(b),16394,42.2 / NE5.5,-14.3,-1.4,0.0,42.0,94.0,1026.9,1029.8
10,부안군,01-11,월요일,외지인(b),10864,36.5 / NE6.1,-8.0,-1.7,0.0,60.0,92.0,1023.1,1030.5
11,부안군,01-12,화요일,외지인(b),11039,194.1 / SSW5.8,-8.3,2.6,0.2,65.0,97.0,1017.0,1023.1
12,부안군,01-13,수요일,외지인(b),12898,199.8 / SSW6.7,-0.9,9.3,0.0,58.0,95.0,1014.5,1019.9
13,부안군,01-14,목요일,외지인(b),14445,42.2 / NE3.8,-2.8,8.4,0.0,55.0,98.0,1019.6,1024.3
14,부안군,01-15,금요일,외지인(b),15400,278.6 / W9.6,1.6,13.3,0.0,70.0,98.0,1014.4,1020.6
15,부안군,01-16,토요일,외지인(b),24199,315.2 / NW8.6,-2.9,2.9,0.0,60.0,85.0,1020.4,1030.3
16,부안군,01-17,일요일,외지인(b),25032,42.2 / NE5.8,-5.8,1.6,0.0,46.0,89.0,1025.3,1032.1
17,부안군,01-18,월요일,외지인(b),9653,270.2 / W11.3,-1.6,6.4,4.0,43.0,99.0,1019.3,1028.6
18,부안군,01-19,화요일,외지인(b),12432,16.8 / NNE5.3,-7.5,0.4,0.0,23.0,84.0,1028.5,1034.2
19,부안군,01-20,수요일,외지인(b),14497,137.8 / SE4.0,-7.0,9.8,0.0,34.0,89.0,1027.0,1032.5
20,부안군,01-21,목요일,외지인(b),14242,22.5 / NNE4.0,1.4,10.2,7.8,66.0,100.0,1019.4,1027.1
21,부안군,01-22,금요일,외지인(b),15782,281.5 / WNW4.9,6.1,10.6,0.8,90.0,100.0,1017.9,1020.5
22,부안군,01-23,토요일,외지인(b),25946,67.5 / ENE5.4,5.9,12.5,0.5,75.0,100.0,1015.8,1020.8
23,부안군,01-24,일요일,외지인(b),30534,45.0 / NE5.4,3.2,13.6,0.0,48.0,94.0,1020.7,1028.1
24,부안군,01-25,월요일,외지인(b),15936,304.0 / NW5.7,1.5,12.6,0.0,54.0,98.0,1022.6,1028.2
