,도시이름,날짜,요일한글,방문객한글,방문자수,최대순간풍향/풍속(m/s)(시각),최저기온(시각),최고기온(시각),일강우량,최저습도(시각),최고습도(시각),최저기압(시각),최고기압(시각)
0,완주군,01-01,금요일,외지인(b),31294,292.7 / WNW8.4,-9.0,3.5,0.1,56,95,1025.1,1028.8
1,완주군,01-02,토요일,외지인(b),34601,292.7 / WNW9.2,-6.6,2.3,0.0,29,91,1025.8,1033.0
2,완주군,01-03,일요일,외지인(b),30538,0.0 / N4.8,-7.6,2.3,0.0,43,93,1033.1,1036.1
3,완주군,01-04,월요일,외지인(b),26663,87.1 / E4.9,-7.7,5.7,0.0,43,96,1028.7,1035.1
4,완주군,01-05,화요일,외지인(b),28039,30.8 / NNE7.3,-9.1,3.1,0.1,40,96,1027.7,1032.7
5,완주군,01-06,수요일,외지인(b),27906,261.7 / W10.2,-10.6,1.4,3.7,41,97,1019.7,1031.1
6,완주군,01-07,목요일,외지인(b),19523,261.7 / W12.3,-16.1,-1.9,1.7,33,92,1020.5,1029.2
7,완주군,01-08,금요일,외지인(b),23671,25.2 / NNE7.1,-18.7,-6.4,0.0,42,89,1023.9,1028.1
8,완주군,01-09,토요일,외지인(b),29631,16.8 / NNE6.4,-17.7,-4.1,0.0,36,90,1023.4,1028.5
9,완주군,01-10,일요일,외지인(b),29330,278.6 / W3.9,-16.3,1.3,0.0,35,94,1026.6,1030.1
10,완주군,01-11,월요일,외지인(b),27157,67.5 / ENE4.0,-8.5,-0.9,0.0,61,92,1023.4,1030.7
11,완주군,01-12,화요일,외지인(b),29302,236.3 / WSW9.3,-8.9,4.3,0.5,45,96,1016.9,1023.5
12,완주군,01-13,수요일,외지인(b),32221,264.6 / W11.3,-4.8,11.1,0.0,45,98,1014.6,1020.2
13,완주군,01-14,목요일,외지인(b),34643,101.3 / ESE3.8,-2.9,13.5,0.0,20,100,1019.5,1024.6
14,완주군,01-15,금요일,외지인(b),35175,273.0 / W11.6,-2.1,14.1,0.0,57,95,1014.2,1021.2
15,완주군,01-16,토요일,외지인(b),42476,270.2 / W8.0,-4.5,2.8,0.0,41,88,1019.5,1030.2
16,완주군,01-17,일요일,외지인(b),38787,284.2 / WNW9.5,-7.3,2.1,0.0,32,91,1025.9,1032.5
17,완주군,01-18,월요일,외지인(b),25694,275.7 / W17.5,-5.0,5.0,4.2,42,98,1018.5,1028.9
18,완주군,01-19,화요일,외지인(b),33044,87.1 / E4.3,-10.0,2.2,0.0,35,91,1028.7,1034.1
19,완주군,01-20,수요일,외지인(b),36152,81.5 / E6.2,-7.3,10.3,0.0,19,88,1027.8,1032.9
20,완주군,01-21,목요일,외지인(b),34892,90.0 / E4.5,0.5,11.8,8.3,59,100,1020.0,1027.8
21,완주군,01-22,금요일,외지인(b),35798,275.7 / W5.4,6.0,12.5,2.2,85,100,1017.6,1020.3
22,완주군,01-23,토요일,외지인(b),47506,70.3 / ENE10.2,5.4,13.7,0.0,61,100,1015.8,1021.4
23,완주군,01-24,일요일,외지인(b),50281,118.1 / ESE8.5,1.3,14.4,0.0,38,97,1021.1,1029.1
