,도시이름,날짜,요일한글,방문객한글,방문자수,최대순간풍향/풍속(m/s)(시각),최저기온(시각),최고기온(시각),일강우량,최저습도(시각),최고습도(시각),최저기압(시각),최고기압(시각)
0,익산시,01-01,금요일,외지인(b),44058,278.4 / W5.4,-11.2,3.9,0.0,55,97,,
1,익산시,01-02,토요일,외지인(b),49910,343.1 / NNW6.9,-7.0,1.5,0.0,39,97,,
2,익산시,01-03,일요일,외지인(b),40163,323.4 / NW4.9,-7.9,0.6,0.0,48,95,,
3,익산시,01-04,월요일,외지인(b),38241,303.8 / NW6.0,-7.8,3.8,0.0,47,96,,
4,익산시,01-05,화요일,외지인(b),38763,315.0 / NW7.8,-8.5,1.4,0.0,44,95,,
5,익산시,01-06,수요일,외지인(b),38420,264.4 / W10.5,-11.3,-0.8,3.3,51,97,,
6,익산시,01-07,목요일,외지인(b),28788,177.2 / S11.4,-15.5,-2.3,3.0,47,97,,
7,익산시,01-08,금요일,외지인(b),34755,351.6 / N5.9,-17.1,-9.1,0.0,50,95,,
8,익산시,01-09,토요일,외지인(b),41836,354.4 / N7.2,-17.9,-6.2,0.0,39,97,,
9,익산시,01-10,일요일,외지인(b),35991,329.1 / NNW4.0,-15.6,-0.4,0.0,40,97,,
10,익산시,01-11,월요일,외지인(b),38640,351.6 / N6.5,-8.9,-1.4,0.0,60,97,,
11,익산시,01-12,화요일,외지인(b),40187,202.5 / SSW5.6,-10.1,4.3,0.9,54,97,,
12,익산시,01-13,수요일,외지인(b),42637,196.9 / SSW5.3,-3.6,10.7,0.0,53,97,,
13,익산시,01-14,목요일,외지인(b),45196,337.5 / NNW6.1,-2.3,10.9,0.0,27,97,,
14,익산시,01-15,금요일,외지인(b),47894,222.2 / SW7.6,0.5,13.7,0.0,66,95,,
15,익산시,01-16,토요일,외지인(b),55066,278.4 / W7.0,-4.3,3.0,0.0,45,79,,
16,익산시,01-17,일요일,외지인(b),47261,357.2 / N6.5,-7.6,1.5,0.4,33,97,,
17,익산시,01-18,월요일,외지인(b),38612,250.3 / WSW12.0,-4.4,6.1,6.4,39,97,,
18,익산시,01-19,화요일,외지인(b),43834,334.7 / NNW5.8,-8.5,0.3,0.0,19,78,,
19,익산시,01-20,수요일,외지인(b),48384,303.8 / NW3.6,-9.4,9.9,0.0,18,83,,
20,익산시,01-21,목요일,외지인(b),47513,317.8 / NW3.8,1.1,9.3,9.2,53,97,,
21,익산시,01-22,금요일,외지인(b),50463,340.3 / NNW5.9,5.4,11.7,0.9,79,97,,
22,익산시,01-23,토요일,외지인(b),58601,33.8 / NE7.2,6.5,13.9,0.0,60,97,,
23,익산시,01-24,일요일,외지인(b),53536,81.6 / E5.6,1.8,14.3,0.0,38,95,,
24,익산시,01-25,월요일,외지인(b),48951,253.1 / WSW5.1,-0.2,14.8,0.0,37,97,,
25,익산시,01-26,화요일,외지인(b),47614,300.9 / WNW5.7,2.5,8.7,5.5,79,97,,
26,익산시,01-27,수요일,외지인(b),50106,354.4 / N10.4,-0.3,8.0,0.0,21,95,,
27,익산시,01-28,목요일,외지인(b),46473,298.1 / WNW12.2,-4.9,6.1,2.0,40,97,,
28,익산시,01-29,금요일,외지인(b),50775,303.8 / NW7.1,-7.9,0.5,0.0,32,90,,
29,익산시,01-30,토요일,외지인(b),59196,210.9 / SSW8.4,-7.4,9.3,0.0,51,97,,
30,익산시,01-31,일요일,외지인(b),54299,154.7 / SSE6.2,-5.5,13.0,0.1,41,97,,
31,익산시,02-01,월요일,외지인(b),38798,250.3 / WSW6.6,3.0,11.7,5.5,68,97,,
32,익산시,02-02,화요일,외지인(b),40418,306.6 / NW8.1,-4.4,2.9,0.3,28,94,,
33,익산시,02-03,수요일,외지인(b),40761,222.2 / SW4.6,-9.3,4.1,0.3,23,97,,
34,익산시,02-04,목요일,외지인(b),42571,345.9 / NNW6.2,-5.0,3.9,1.5,29,97,,
35,익산시,02-05,금요일,외지인(b),48160,275.6 / W4.4,-6.2,8.6,0.0,32,96,,
36,익산시,02-06,토요일,외지인(b),56441,199.7 / SSW5.4,-3.3,10.6,0.0,57,97,,
37,익산시,02-07,일요일,외지인(b),50848,258.8 / W5.6,0.3,10.9,0.0,45,97,,
38,익산시,02-08,월요일,외지인(b),45679,343.1 / NNW8.3,-6.4,3.2,0.0,23,89,,
39,익산시,02-09,화요일,외지인(b),49609,191.3 / SSW4.9,-7.9,6.2,0.0,30,88,,
40,익산시,02-10,수요일,외지인(b),61845,25.3 / NNE5.2,-5.7,9.2,0.0,52,97,,
41,익산시,02-11,목요일,외지인(b),92610,343.1 / NNW5.4,-2.4,12.7,0.0,34,97,,
42,익산시,02-12,금요일,외지인(b),120512,286.9 / WNW4.2,-0.5,15.5,0.0,15,97,,
43,익산시,02-13,토요일,외지인(b),88197,306.6 / NW4.7,-3.2,16.8,0.0,15,97,,
44,익산시,02-14,일요일,외지인(b),58727,303.8 / NW5.5,0.8,17.1,0.6,32,95,,
45,익산시,02-15,월요일,외지인(b),47985,253.1 / WSW10.2,-0.8,7.8,0.6,47,97,,
46,익산시,02-16,화요일,외지인(b),46270,343.1 / NNW10.4,-6.7,3.4,1.9,35,97,,
47,익산시,02-17,수요일,외지인(b),44300,253.1 / WSW10.9,-6.8,-2.9,0.6,41,89,,
48,익산시,02-18,목요일,외지인(b),47215,331.9 / NNW9.0,-10.7,0.8,0.0,40,89,,
49,익산시,02-19,금요일,외지인(b),56469,205.3 / SSW7.4,-6.4,10.9,0.0,42,88,,
50,익산시,02-20,토요일,외지인(b),65916,227.8 / SW6.4,1.1,15.1,0.0,55,97,,
51,익산시,02-21,일요일,외지인(b),60417,191.3 / SSW9.6,2.0,22.7,0.0,22,97,,
52,익산시,02-22,월요일,외지인(b),53445,210.9 / SSW7.6,1.3,17.0,0.0,50,94,,
53,익산시,02-23,화요일,외지인(b),54478,317.8 / NW5.6,-5.6,8.2,0.0,18,87,,
54,익산시,02-24,수요일,외지인(b),55272,337.5 / NNW5.0,-2.0,11.4,0.0,14,87,,
55,익산시,02-25,목요일,외지인(b),53739,331.9 / NNW5.4,-2.6,8.3,3.6,41,97,,
56,익산시,02-26,금요일,외지인(b),62577,33.8 / NE10.0,4.6,15.4,0.0,20,94,,
57,익산시,02-27,토요일,외지인(b),79450,25.3 / NNE8.5,4.7,15.1,0.0,31,67,,
58,익산시,02-28,일요일,외지인(b),80777,33.8 / NE5.8,-0.2,11.4,0.0,40,97,,
59,익산시,03-01,월요일,외지인(b),52220,154.7 / SSE9.5,4.5,17.3,43.8,78,97,,
60,익산시,03-02,화요일,외지인(b),56046,306.6 / NW6.8,-1.0,7.8,0.0,48,97,,
61,익산시,03-03,수요일,외지인(b),57747,270.0 / W3.6,-2.8,9.9,0.0,32,97,,
62,익산시,03-04,목요일,외지인(b),56704,320.6 / NW5.6,2.1,12.0,5.4,42,97,,
63,익산시,03-05,금요일,외지인(b),60911,351.6 / N6.1,-0.2,16.9,0.0,36,97,,
64,익산시,03-06,토요일,외지인(b),67382,208.1 / SSW4.8,2.8,14.3,0.0,63,97,,
65,익산시,03-07,일요일,외지인(b),61681,230.6 / SW4.1,3.6,12.1,0.0,52,97,,
66,익산시,03-08,월요일,외지인(b),59367,213.8 / SW5.0,0.9,14.3,0.0,24,97,,
67,익산시,03-09,화요일,외지인(b),61618,298.1 / WNW5.2,1.0,13.3,0.0,37,97,,
68,익산시,03-10,수요일,외지인(b),62762,275.6 / W4.7,-1.7,18.0,0.0,23,97,,
69,익산시,03-11,목요일,외지인(b),63410,267.2 / W4.6,0.4,18.0,0.0,26,97,,
70,익산시,03-12,금요일,외지인(b),63350,348.8 / N8.2,6.2,10.2,16.4,78,97,,
71,익산시,03-13,토요일,외지인(b),73220,227.8 / SW5.5,2.1,15.7,0.0,44,97,,
72,익산시,03-14,일요일,외지인(b),68082,258.8 / W5.0,1.3,14.7,0.0,51,97,,
73,익산시,03-15,월요일,외지인(b),63581,216.6 / SW5.5,-0.1,19.0,0.2,35,97,,
74,익산시,03-16,화요일,외지인(b),64414,340.3 / NNW8.2,1.6,15.1,3.1,21,97,,
75,익산시,03-17,수요일,외지인(b),65783,233.4 / SW5.5,-1.6,17.0,0.0,19,97,,
76,익산시,03-18,목요일,외지인(b),67053,281.3 / WNW7.0,0.6,19.6,0.0,32,97,,
77,익산시,03-19,금요일,외지인(b),71481,312.2 / NW6.4,6.3,19.2,0.0,39,83,,
78,익산시,03-20,토요일,외지인(b),69762,312.2 / NW5.9,6.4,10.4,5.2,69,97,,
79,익산시,03-21,일요일,외지인(b),66917,298.1 / WNW10.2,4.1,10.3,0.0,39,94,,
80,익산시,03-22,월요일,외지인(b),63343,267.2 / W8.0,-0.5,11.6,0.0,31,97,,
81,익산시,03-23,화요일,외지인(b),65419,236.3 / WSW8.0,0.5,16.0,0.0,38,97,,
82,익산시,03-24,수요일,외지인(b),65751,213.8 / SW6.1,0.6,18.1,0.0,20,97,,
83,익산시,03-25,목요일,외지인(b),68373,180.0 / S6.1,2.6,19.9,0.0,39,97,,
