,도시이름,날짜,요일한글,방문객한글,방문자수,최대순간풍향/풍속(m/s)(시각),최저기온(시각),최고기온(시각),일강우량,최저습도(시각),최고습도(시각),최저기압(시각),최고기압(시각)
0,임실군,01-01,금요일,외지인(b),15005,250.5 / WSW6.4,-13.2,0.8,0.1,60,96,1025.4,1029.8
1,임실군,01-02,토요일,외지인(b),15519,8.3 / N10.7,-8.6,0.8,0.2,36,98,1025.9,1033.1
2,임실군,01-03,일요일,외지인(b),14042,357.5 / N8.7,-9.5,1.0,0.0,44,91,1032.8,1036.2
3,임실군,01-04,월요일,외지인(b),8831,233.6 / SW3.1,-10.1,4.1,0.0,50,96,1028.7,1035.1
4,임실군,01-05,화요일,외지인(b),10077,343.3 / NNW8.2,-7.6,0.6,0.4,49,98,1027.5,1031.9
5,임실군,01-06,수요일,외지인(b),9398,357.5 / N7.4,-12.8,-0.8,3.0,47,97,1020.4,1031.4
6,임실군,01-07,목요일,외지인(b),5898,301.2 / WNW11.4,-20.3,-3.8,7.3,43,94,1021.0,1028.5
7,임실군,01-08,금요일,외지인(b),7378,11.1 / N8.1,-22.8,-7.3,0.0,48,89,1022.8,1029.1
8,임실군,01-09,토요일,외지인(b),9349,16.8 / NNE7.9,-22.0,-4.1,0.0,41,90,1022.1,1028.9
9,임실군,01-10,일요일,외지인(b),10343,8.3 / N3.9,-18.2,-1.4,0.0,53,95,1026.6,1031.0
10,임실군,01-11,월요일,외지인(b),8687,270.2 / W3.8,-10.4,-1.5,0.0,63,96,1024.0,1030.5
11,임실군,01-12,화요일,외지인(b),9373,154.8 / SSE4.8,-13.3,0.7,0.2,65,96,1017.2,1024.1
12,임실군,01-13,수요일,외지인(b),9979,199.8 / SSW6.5,-7.3,9.1,0.0,50,99,1014.8,1020.7
13,임실군,01-14,목요일,외지인(b),10941,225.1 / SW4.8,-2.5,11.2,0.0,34,100,1019.6,1024.8
14,임실군,01-15,금요일,외지인(b),12226,222.3 / SW9.3,-1.4,12.5,0.0,65,97,1014.4,1021.8
15,임실군,01-16,토요일,외지인(b),16674,273.0 / W7.3,-5.5,1.7,0.0,53,89,1019.0,1030.2
16,임실군,01-17,일요일,외지인(b),15414,16.8 / NNE9.8,-7.4,-0.3,0.0,34,92,1026.6,1031.8
17,임실군,01-18,월요일,외지인(b),8376,278.6 / W15.1,-5.2,3.6,5.1,45,98,1018.9,1028.4
18,임실군,01-19,화요일,외지인(b),9954,323.7 / NW4.4,-13.2,1.1,0.0,30,94,1028.1,1033.8
19,임실군,01-20,수요일,외지인(b),11400,137.8 / SE4.4,-11.6,7.8,0.0,37,93,1027.7,1034.3
20,임실군,01-21,목요일,외지인(b),11750,123.8 / SE4.0,-1.1,8.4,6.7,66,100,1020.4,1028.9
21,임실군,01-22,금요일,외지인(b),12646,16.8 / NNE2.5,4.6,10.7,4.7,87,100,1016.9,1020.5
