,도시이름,날짜,요일한글,방문객한글,방문자수,최대순간풍향/풍속(m/s)(시각),최저기온(시각),최고기온(시각),일강우량,최저습도(시각),최고습도(시각),최저기압(시각),최고기압(시각)
0,전주시 완산구,01-01,금요일,외지인(b),71953,231.2 / SW7.8,-7.5,3.4,0.0,48,90,1024.6,1028.2
1,전주시 완산구,01-02,토요일,외지인(b),89464,329.9 / NNW7.9,-3.6,1.3,0.0,33,88,1024.8,1032.1
2,전주시 완산구,01-03,일요일,외지인(b),66521,344.0 / NNW4.8,-5.7,1.4,0.0,42,74,1032.1,1035.5
3,전주시 완산구,01-04,월요일,외지인(b),66560,318.7 / NW4.8,-6.0,5.0,0.0,40,81,1028.0,1034.2
4,전주시 완산구,01-05,화요일,외지인(b),66672,2.8 / N7.4,-6.3,3.9,0.0,43,86,1026.9,1032.1
5,전주시 완산구,01-06,수요일,외지인(b),66952,262.3 / W9.4,-8.5,-0.3,3.2,44,94,1019.5,1030.3
6,전주시 완산구,01-07,목요일,외지인(b),49084,265.1 / W11.7,-14.1,-2.6,3.2,39,95,1020.5,1028.5
7,전주시 완산구,01-08,금요일,외지인(b),63760,327.1 / NNW6.4,-16.5,-7.8,0.0,42,74,1023.4,1027.5
8,전주시 완산구,01-09,토요일,외지인(b),82478,313.0 / NW7.5,-15.2,-5.0,0.0,34,79,1022.9,1027.6
9,전주시 완산구,01-10,일요일,외지인(b),64197,129.7 / SE3.6,-12.7,-0.6,0.0,39,82,1026.1,1029.3
10,전주시 완산구,01-11,월요일,외지인(b),69314,346.9 / NNW3.6,-6.6,-1.1,0.0,56,79,1022.6,1030.3
11,전주시 완산구,01-12,화요일,외지인(b),71222,231.2 / SW6.1,-7.2,4.4,0.5,42,91,1016.4,1022.7
12,전주시 완산구,01-13,수요일,외지인(b),74998,200.2 / SSW10.0,-0.3,10.9,0.0,45,82,1014.0,1019.5
13,전주시 완산구,01-14,목요일,외지인(b),77896,332.8 / NNW3.9,0.2,12.8,0.0,32,96,1018.9,1023.9
14,전주시 완산구,01-15,금요일,외지인(b),85299,231.2 / SW11.7,2.2,14.2,0.0,57,87,1013.8,1020.1
15,전주시 완산구,01-16,토요일,외지인(b),107349,256.6 / WSW8.5,-4.5,2.6,0.0,50,79,1019.2,1029.9
16,전주시 완산구,01-17,일요일,외지인(b),81452,270.7 / W7.5,-6.4,0.9,0.0,36,79,1025.1,1031.7
17,전주시 완산구,01-18,월요일,외지인(b),66619,262.3 / W15.0,-3.8,5.5,4.0,40,95,1018.2,1028.2
18,전주시 완산구,01-19,화요일,외지인(b),78726,327.1 / NNW4.7,-8.3,1.0,0.0,28,73,1028.0,1033.5
19,전주시 완산구,01-20,수요일,외지인(b),83083,335.6 / NNW4.5,-5.7,10.7,0.0,22,65,1026.9,1032.2
20,전주시 완산구,01-21,목요일,외지인(b),81144,129.7 / SE3.7,4.1,12.9,8.3,53,96,1019.3,1027.0
21,전주시 완산구,01-22,금요일,외지인(b),89782,318.7 / NW3.7,6.7,10.7,1.7,84,98,1017.0,1019.9
22,전주시 완산구,01-23,토요일,외지인(b),111738,90.2 / E5.2,6.6,13.3,0.0,61,97,1015.0,1020.5
23,전주시 완산구,01-24,일요일,외지인(b),92572,76.1 / ENE5.4,3.4,14.4,0.0,39,89,1020.3,1028.1
24,전주시 완산구,01-25,월요일,외지인(b),86632,253.8 / WSW5.5,3.3,14.3,0.0,41,81,1022.3,1028.1
25,전주시 완산구,01-26,화요일,외지인(b),82611,262.3 / W7.1,4.0,8.2,5.4,75,96,1017.7,1022.3
26,전주시 완산구,01-27,수요일,외지인(b),88260,346.9 / NNW10.7,0.8,8.5,0.0,22,86,1020.9,1025.3
27,전주시 완산구,01-28,목요일,외지인(b),81015,293.3 / WNW14.8,-5.3,6.9,2.2,39,90,1014.5,1025.1
28,전주시 완산구,01-29,금요일,외지인(b),91287,259.4 / W7.3,-8.2,-0.2,0.0,40,70,1025.0,1028.2
