날짜,최대순간풍향/풍속(m/s)(시각),최저기온(시각),최고기온(시각),일강우량,최저습도(시각),최고습도(시각),최저기압(시각),최고기압(시각)
1.01,247.6 / WSW9.7,-8.6,4.1,0.1,52,97,1025.2,1028.6
1.02,340.6 / NNW5.0,-6.2,1.4,0.3,45,98,1025.3,1032.8
1.03,50.5 / NE4.5,-6.8,0.7,0,50,91,1032.8,1035.9
1.04,33.7 / NNE4.6,-7.8,3.2,0,57,95,1028.5,1034.5
1.05,323.7 / NW7.9,-4.1,3.3,0.2,52,97,1027.9,1032.9
1.06,270.2 / W17.3,-6.6,0.4,1.5,54,99,1020.2,1030.7
1.07,320.8 / NW14.5,-14.8,-1.9,9.2,55,95,1022,1029.1
1.08,53.4 / NE4.6,-18.6,-9,0,55,88,1024.1,1027.8
1.09,30.8 / NNE6.8,-17.3,-5.6,0,40,88,1023.6,1027.9
1.1,42.2 / NE5.5,-14.3,-1.4,0,42,94,1026.9,1029.8
1.11,36.5 / NE6.1,-8,-1.7,0,60,92,1023.1,1030.5
1.12,194.1 / SSW5.8,-8.3,2.6,0.2,65,97,1017,1023.1
1.13,199.8 / SSW6.7,-0.9,9.3,0,58,95,1014.5,1019.9
1.14,42.2 / NE3.8,-2.8,8.4,0,55,98,1019.6,1024.3
1.15,278.6 / W9.6,1.6,13.3,0,70,98,1014.4,1020.6
1.16,315.2 / NW8.6,-2.9,2.9,0,60,85,1020.4,1030.3
1.17,42.2 / NE5.8,-5.8,1.6,0,46,89,1025.3,1032.1
1.18,270.2 / W11.3,-1.6,6.4,4,43,99,1019.3,1028.6
1.19,16.8 / NNE5.3,-7.5,0.4,0,23,84,1028.5,1034.2
1.2,137.8 / SE4.0,-7,9.8,0,34,89,1027,1032.5
1.21,22.5 / NNE4.0,1.4,10.2,7.8,66,100,1019.4,1027.1
1.22,281.5 / WNW4.9,6.1,10.6,0.8,90,100,1017.9,1020.5
1.23,67.5 / ENE5.4,5.9,12.5,0.5,75,100,1015.8,1020.8
1.24,45.0 / NE5.4,3.2,13.6,0,48,94,1020.7,1028.1
1.25,304.0 / NW5.7,1.5,12.6,0,54,98,1022.6,1028.2
1.26,315.2 / NW8.4,4.5,8.7,5.2,82,99,1018.4,1022.9
1.27,36.5 / NE8.1,-0.2,9,0,25,98,1021.4,1025.8
1.28,304.0 / NW12.9,-4.2,5.6,0.9,51,92,1015.6,1025.5
1.29,315.2 / NW9.9,-7.1,-1.1,1.7,59,93,1025.4,1028.6
1.3,267.3 / W10.2,-5.5,9.7,0,64,98,1025.2,1029.3
1.31,205.5 / SSW9.0,-2.6,12.5,0.2,55,99,1021.7,1029.9
2.01,247.6 / WSW8.2,3,12.2,2.3,70,99,1014.9,1023.4
2.02,312.3 / NW10.4,-3.6,3,0.3,40,94,1023.5,1029.2
2.03,197.0 / SSW9.0,-7,4.6,0,34,93,1022,1029.7
2.04,332.1 / NNW10.2,-3.3,4.6,3.1,38,98,1022.2,1030.7
2.05,47.7 / NE3.9,-4.3,9,0,26,86,1018.7,1028.5
2.06,177.3 / S5.6,0.2,10.6,0,53,96,1016.1,1018.8
2.07,278.6 / W7.6,1.1,9,0,65,98,1018.3,1026.5
2.08,326.5 / NNW10.2,-3.5,2.4,0,32,80,1026.1,1031.4
