날짜,최대순간풍향/풍속(m/s)(시각),최저기온(시각),최고기온(시각),일강우량,최저습도(시각),최고습도(시각),최저기압(시각),최고기압(시각)
1.01,231.2 / SW7.8,-7.5,3.4,0,48,90,1024.6,1028.2
1.02,329.9 / NNW7.9,-3.6,1.3,0,33,88,1024.8,1032.1
1.03,344.0 / NNW4.8,-5.7,1.4,0,42,74,1032.1,1035.5
1.04,318.7 / NW4.8,-6,5,0,40,81,1028,1034.2
1.05,2.8 / N7.4,-6.3,3.9,0,43,86,1026.9,1032.1
1.06,262.3 / W9.4,-8.5,-0.3,3.2,44,94,1019.5,1030.3
1.07,265.1 / W11.7,-14.1,-2.6,3.2,39,95,1020.5,1028.5
1.08,327.1 / NNW6.4,-16.5,-7.8,0,42,74,1023.4,1027.5
1.09,313.0 / NW7.5,-15.2,-5,0,34,79,1022.9,1027.6
1.1,129.7 / SE3.6,-12.7,-0.6,0,39,82,1026.1,1029.3
1.11,346.9 / NNW3.6,-6.6,-1.1,0,56,79,1022.6,1030.3
1.12,231.2 / SW6.1,-7.2,4.4,0.5,42,91,1016.4,1022.7
1.13,200.2 / SSW10.0,-0.3,10.9,0,45,82,1014,1019.5
1.14,332.8 / NNW3.9,0.2,12.8,0,32,96,1018.9,1023.9
1.15,231.2 / SW11.7,2.2,14.2,0,57,87,1013.8,1020.1
1.16,256.6 / WSW8.5,-4.5,2.6,0,50,79,1019.2,1029.9
1.17,270.7 / W7.5,-6.4,0.9,0,36,79,1025.1,1031.7
1.18,262.3 / W15.0,-3.8,5.5,4,40,95,1018.2,1028.2
1.19,327.1 / NNW4.7,-8.3,1,0,28,73,1028,1033.5
1.2,335.6 / NNW4.5,-5.7,10.7,0,22,65,1026.9,1032.2
1.21,129.7 / SE3.7,4.1,12.9,8.3,53,96,1019.3,1027
1.22,318.7 / NW3.7,6.7,10.7,1.7,84,98,1017,1019.9
1.23,90.2 / E5.2,6.6,13.3,0,61,97,1015,1020.5
1.24,76.1 / ENE5.4,3.4,14.4,0,39,89,1020.3,1028.1
1.25,253.8 / WSW5.5,3.3,14.3,0,41,81,1022.3,1028.1
1.26,262.3 / W7.1,4,8.2,5.4,75,96,1017.7,1022.3
1.27,346.9 / NNW10.7,0.8,8.5,0,22,86,1020.9,1025.3
1.28,293.3 / WNW14.8,-5.3,6.9,2.2,39,90,1014.5,1025.1
1.29,259.4 / W7.3,-8.2,-0.2,0,40,70,1025,1028.2
1.3,265.1 / W9.7,-5.4,8.8,0,60,85,1024.5,1029.1
1.31,152.3 / SSE7.2,-1.8,12.7,0.2,37,84,1021.5,1029.7
2.01,231.2 / SW8.0,2.8,11.4,2.2,67,94,1014.2,1022.2
2.02,273.5 / W9.0,-3.6,2.9,0.1,31,83,1022.2,1028.2
2.03,143.8 / SE5.6,-6.4,3.7,0,20,88,1022,1029.6
2.04,318.7 / NW7.6,-2.2,3.1,2,31,95,1022.3,1030.2
2.05,251.0 / WSW4.4,-4.3,8.9,0,27,75,1018.6,1028
2.06,214.3 / SW4.5,0,10.8,0,43,87,1015.8,1018.8
2.07,234.1 / SW6.9,0.4,10.6,0,49,89,1018,1025.5
2.08,349.7 / N9.8,-3.6,3.1,0,26,72,1025.2,1031
2.09,318.7 / NW5.6,-5.4,6.2,0,31,67,1027,1031.3
2.1,332.8 / NNW5.4,-3.1,8.9,0,51,80,1024.2,1028.4
2.11,329.9 / NNW3.7,0,12.5,0,36,87,1022.4,1027.2
2.12,284.8 / WNW5.1,2.6,15.6,0,19,77,1022.9,1025.6
2.13,304.6 / NW4.7,0.8,17.4,0,21,70,1021.1,1027
2.14,290.5 / WNW5.4,5,17,0.6,37,80,1010.9,1021.4
2.15,276.4 / W14.8,-1.4,8.1,0.5,50,95,1010.1,1018.5
2.16,256.6 / WSW13.2,-4.6,4.2,1.6,28,96,1012.3,1019.3
2.17,290.5 / WNW11.6,-7.2,-3.4,0.9,44,88,1018.6,1022
2.18,329.9 / NNW9.0,-8.6,0.3,0,42,75,1021.8,1024.7
2.19,222.8 / SW7.5,-4.2,10,0,45,82,1014.3,1024.7
2.2,239.7 / WSW8.4,5.2,16.2,0,45,80,1010.5,1014.3
2.21,205.9 / SSW10.6,7.9,22.9,0,25,75,1009.8,1013.1
2.22,256.6 / WSW9.5,1.6,18.2,0,38,74,1010.4,1023.5
2.23,332.8 / NNW6.0,-1.8,8.1,0,19,62,1023.5,1028
2.24,245.3 / WSW3.4,-0.9,11.1,0,17,57,1022.4,1026.9
2.25,253.8 / WSW6.3,1.3,9.2,4.3,46,93,1020.7,1024.6
2.26,59.2 / ENE7.8,3.7,16.1,0,23,95,1018.5,1024.3
2.27,67.7 / ENE7.1,4.6,15.3,0,30,62,1024,1028
2.28,335.6 / NNW4.4,2.9,11.4,1.5,35,96,1021.3,1027.8
3.01,157.9 / SSE9.4,5.1,17.1,42.5,71,96,1008.1,1021.3
3.02,318.7 / NW7.6,1.7,8.1,0,46,93,1013.5,1029.8
3.03,287.6 / WNW4.5,-0.9,10.7,0,34,92,1027,1031.6
3.04,132.5 / SE4.4,4.1,11.8,7.5,42,95,1020.9,1027.5
3.05,327.1 / NNW5.6,4,16.8,0,40,99,1017.4,1023.2
3.06,239.7 / WSW4.8,3.6,12.5,0,63,99,1022.9,1028.3
3.07,256.6 / WSW4.9,5.3,12.3,0,52,90,1025.7,1029.5
3.08,248.2 / WSW7.5,4.3,14.1,0,33,90,1024.4,1029
3.09,284.8 / WNW5.9,3,13.5,0,37,87,1023.4,1028.1
3.1,287.6 / WNW5.9,1,18,0,31,80,1025.9,1029.8
3.11,253.8 / WSW5.9,3.8,18.5,0,28,78,1022.2,1029.2
3.12,14.1 / NNE7.5,7.3,11.4,14,59,96,1018.1,1022.7
3.13,253.8 / WSW6.5,3.2,14.8,0,46,98,1019.8,1023.3
3.14,315.8 / NW6.6,3.3,14.6,0,50,92,1019,1022.9
3.15,287.6 / WNW6.8,3.9,19.7,0.2,26,91,1013.1,1020.1
3.16,327.1 / NNW7.5,4.1,15.6,5.2,24,97,1012.7,1019
3.17,262.3 / W5.5,1.3,16.9,0,30,90,1017,1021.1
3.18,270.7 / W8.6,4.1,19.8,0,36,80,1016.2,1021.4
3.19,329.9 / NNW6.5,8,20.2,0,40,73,1014.8,1020.7
3.2,259.4 / W5.8,6.1,11.1,5.1,65,96,1011.1,1016.1
3.21,276.4 / W12.8,4.1,9.7,0,42,90,1013.9,1021.5
3.22,256.6 / WSW10.1,2.3,11.7,0,36,79,1021,1023.7
3.23,211.5 / SSW9.6,2.5,16.7,0,26,85,1020.4,1024.3
3.24,239.7 / WSW7.5,4.4,18.7,0,24,74,1018,1022.9
3.25,279.2 / W6.2,5.9,20.3,0,33,98,1019.6,1023
3.26,262.3 / W4.4,4.5,22.2,0,27,99,1017.1,1023.4
3.27,135.4 / SE9.0,10.4,17,20.4,35,97,1002.5,1018.8
3.28,231.2 / SW11.7,8.8,15.8,0.8,76,97,1002.5,1007.1
3.29,265.1 / W7.6,8.8,16.8,0,27,92,1007.1,1011.3
3.3,318.7 / NW7.8,6.8,20.1,0,18,80,1010.6,1014.4
3.31,282.0 / WNW5.5,5,23.7,0,11,78,1011.2,1015.1
4.01,101.5 / ESE10.3,8.7,25.1,0,16,64,1014.5,1018
4.02,64.9 / ENE7.1,13.3,26.1,0,22,48,1015.4,1019.1
4.03,163.6 / SSE10.6,12,19.9,10.9,53,97,1008.1,1016
4.04,14.1 / NNE6.5,9.6,14.1,6.3,69,97,1009.4,1019.6
4.05,324.3 / NW7.7,6.5,19,0,19,95,1018.8,1023.5
4.06,259.4 / W8.2,6.1,18.7,0,25,77,1018.7,1022.6
4.07,251.0 / WSW7.6,5.4,21.3,0,27,83,1017.5,1022.5
4.08,259.4 / W7.3,7.4,18.1,0,21,77,1017.3,1020.7
4.09,259.4 / W9.0,4.5,20.2,0,25,78,1020.7,1028.2
4.1,324.3 / NW6.9,7.8,20.4,0,30,74,1028,1031.6
4.11,220.0 / SW5.6,7.8,23.9,0,23,78,1025.1,1031.7
4.12,129.7 / SE9.7,12,15.7,15,23,95,1010.3,1026.9
4.13,256.6 / WSW10.8,4.9,15.2,1.3,53,97,1009.5,1019.9
4.14,253.8 / WSW9.6,3.1,15.2,0,32,84,1018.7,1022
4.15,234.1 / SW5.5,2.4,20.1,0,20,76,1015.2,1021.7
4.16,242.5 / WSW7.0,7.6,15.6,0.1,48,91,1015.8,1018.4
4.17,242.5 / WSW12.8,6.9,16.5,0,24,99,1014.2,1017.8
4.18,284.8 / WNW8.1,6.9,15.7,0,36,79,1016,1019.7
4.19,248.2 / WSW7.6,3.8,19.9,0,25,84,1016.7,1020.2
4.2,265.1 / W5.6,6.1,24,0,25,79,1018.5,1022.2
4.21,245.3 / WSW6.4,10,28.6,0,22,72,1017.9,1022.6
4.22,62.0 / ENE8.7,13.5,28.4,0,21,60,1015.4,1021.8
4.23,95.9 / E12.0,18.1,28.1,0,20,44,1014.7,1018.7
4.24,282.0 / WNW7.7,12.7,25.6,0,21,56,1017.2,1020.3
4.25,256.6 / WSW9.4,11.1,26.4,0,33,71,1015.6,1021.2
4.26,256.6 / WSW9.5,12.4,23.8,0,20,79,1018.5,1022.5
4.27,172.0 / S6.1,11.6,22.8,0,27,69,1015.3,1021.7
4.28,332.8 / NNW5.5,14.2,21.1,0.1,27,90,1013.3,1018.7
4.29,222.8 / SW17.8,11.5,21.1,1.2,32,81,1000.8,1013.4
4.3,197.4 / SSW12.7,11,15.9,0,49,81,1000.1,1009.2
5.01,287.6 / WNW10.7,9,13.6,4.6,59,95,1003.3,1011.5
5.02,296.1 / WNW8.1,8.1,17.9,0.4,42,88,1011.3,1021
5.03,245.3 / WSW8.4,6.4,23.5,0,30,90,1015.6,1020.8
5.04,180.5 / S13.5,12.7,22.1,7.9,59,95,1002.5,1016.8
5.05,287.6 / WNW9.4,9.3,19.2,0.2,23,96,1005.5,1019.5
5.06,228.4 / SW6.3,7.2,23.6,0,23,67,1012.5,1019.6
5.07,265.1 / W12.9,9.9,21.4,0.2,32,91,1006.6,1012.5
5.08,236.9 / WSW11.0,7.5,24.3,0,29,86,1001.4,1010.3
5.09,298.9 / WNW8.8,9.7,22.5,0,27,91,1008,1012.1
5.1,318.7 / NW9.3,11.3,16.6,3.3,50,93,1009.5,1016.6
5.11,73.3 / ENE5.2,13.5,21.5,62.7,56,98,1010.4,1013.6
5.12,327.1 / NNW6.4,13,28.5,0,40,74,1007.5,1012.2
5.13,251.0 / WSW5.0,15.9,28.7,0,44,81,1009.1,1012.6
5.14,267.9 / W6.8,16.1,30.8,0,42,87,1008.6,1013.1
5.15,141.0 / SE6.3,18.4,27.6,5.8,65,96,1003.3,1009.8
5.16,231.2 / SW7.9,17,23.1,35.4,85,98,998.8,1005.1
5.17,245.3 / WSW5.3,14.5,17.2,4.4,84,98,1002.7,1010.7
5.18,242.5 / WSW6.2,14,23.9,0.2,49,96,1008.7,1012.4
5.19,327.1 / NNW7.5,13.6,27.5,0,28,94,1008.8,1013
5.2,239.7 / WSW8.6,15.1,19.8,5.9,62,96,1000,1011.5
5.21,231.2 / SW10.0,13.8,18.1,1.2,66,95,1001.8,1011.3
5.22,321.5 / NW7.0,13.1,25.1,0,47,93,1009,1012.7
5.23,329.9 / NNW4.5,13.2,28.3,0,39,90,1008.3,1012.8
5.24,245.3 / WSW7.5,14.6,23.8,0,44,80,1006.6,1010.9
5.25,251.0 / WSW11.1,12.9,21,2,44,93,1006.1,1011.5
5.26,169.2 / S8.8,12.6,24.1,0,32,86,1005.1,1011.7
5.27,248.2 / WSW8.2,13.3,20.7,0.6,56,93,1000.9,1006.4
5.28,211.5 / SSW13.5,12.9,24.7,34.6,46,99,997.8,1005.8
5.29,259.4 / W7.8,13.6,24.9,0,38,88,1005,1009.3
5.3,259.4 / W6.0,13.6,29.5,0,35,81,1006,1010.1
5.31,327.1 / NNW9.3,14.4,28.2,12.8,34,94,1008.3,1012.8
6.01,318.7 / NW6.5,17.5,28.5,0,35,76,1011.5,1015.7
6.02,205.9 / SSW5.9,19,30.2,0,31,73,1010.2,1014.4
6.03,324.3 / NW6.3,17.1,21.6,27,61,97,999.5,1011.2
6.04,293.3 / WNW5.8,14.6,24,0.3,33,95,1001.3,1004.5
6.05,239.7 / WSW9.0,14.2,26.9,0,54,88,1000.8,1004.9
6.06,222.8 / SW8.0,18.9,28.8,0,39,89,1004.5,1011.7
6.07,265.1 / W6.0,18,30.3,0,30,78,1011.3,1015
6.08,262.3 / W4.6,18.5,31.4,0,31,89,1013.3,1016.1
6.09,222.8 / SW9.8,20.2,33.6,0,31,83,1012.1,1015.8
6.1,152.3 / SSE11.4,21.6,29.6,2.9,44,85,1008.3,1014.1
6.11,166.4 / SSE7.5,19.2,28.7,44,57,96,1008,1012.3
6.12,262.3 / W7.5,20.1,30,0,54,95,1009.1,1012.9
6.13,256.6 / WSW5.2,18.5,27.3,0,66,97,1005.8,1011.5
6.14,256.6 / WSW7.1,19.1,27.7,0,71,96,1004,1007.8
6.15,16.9 / NNE5.3,19.3,23.3,6.1,72,95,1001.5,1005.4
6.16,79.0 / E8.5,19.2,28.1,0,53,96,1000.8,1006.1
6.17,236.9 / WSW5.2,19.2,26.2,2,60,93,1004.9,1007.2
6.18,239.7 / WSW6.2,19.7,24.4,9.2,73,96,1000.3,1005
6.19,248.2 / WSW6.2,18.6,28.2,0,45,96,999.9,1002.9
6.2,273.5 / W8.0,17.2,31.3,0,31,95,1000.6,1003.6
6.21,256.6 / WSW6.6,19,29.7,0,40,85,1002.9,1007
6.22,251.0 / WSW8.7,17.9,29,0,40,84,1006.7,1009.8
6.23,8.5 / N6.5,20.3,26.2,0,61,85,1008.7,1011.8
6.24,253.8 / WSW6.4,19.8,27.5,0,54,89,1009.6,1012.2
6.25,248.2 / WSW7.4,18.9,29.9,7,50,95,1008.2,1012.3
6.26,338.4 / NNW5.3,19.9,28.7,2.3,46,96,1008,1011.7
6.27,262.3 / W5.4,20.2,30,0,47,84,1004.2,1009.1
6.28,149.5 / SSE12.6,19.2,29.2,43.3,56,98,1003,1006.1
6.29,214.3 / SW6.0,20.7,28.2,1.2,63,92,1004.4,1007.5
6.3,267.9 / W5.3,20.9,30.1,0,49,91,1004.8,1008.2
7.01,8.5 / N6.9,20.8,31.4,22.4,54,95,1003.8,1007.5
7.02,222.8 / SW5.5,21.8,32,1.6,51,93,1006.1,1010
7.03,141.0 / SE7.6,22.1,26.9,22.8,63,95,1000.4,1009.7
7.04,222.8 / SW9.4,21.9,26.4,1.5,77,94,999.9,1010.7
7.05,104.3 / ESE4.9,20.5,24.9,88.7,72,98,1007.4,1011.4
7.06,155.1 / SSE3.4,21.1,25.6,24.8,81,99,1005.6,1008.9
7.07,220.0 / SW5.7,23.8,29.4,36.7,74,98,1004.9,1009.5
7.08,228.4 / SW8.8,22.6,28.4,33.6,67,98,1003.7,1006.5
7.09,253.8 / WSW5.3,23,30.3,0.1,60,96,1004.1,1007.3
7.1,273.5 / W7.0,23.4,32.2,1.2,55,91,1005.9,1010.5
7.11,253.8 / WSW6.7,23.5,31.1,0.7,65,89,1009.1,1011.3
7.12,231.2 / SW4.8,25.4,33.7,0,57,90,1008.1,1011.2
7.13,126.9 / SE8.7,25.4,33.8,0,51,83,1008.4,1010.9
7.14,138.2 / SE6.2,26.3,32.6,0,59,80,1010.7,1013.7
7.15,318.7 / NW5.7,25.2,35,0,50,84,1012.6,1014.8
7.16,321.5 / NW7.5,23.1,33.2,0.1,55,88,1011.7,1015.6
7.17,84.6 / E7.9,21.6,32.7,0,50,91,1009.1,1013.9
7.18,248.2 / WSW7.0,22.5,31.8,10.2,56,95,1009.2,1012.2
7.19,95.9 / E5.5,23,32,0,51,94,1011.5,1014
7.2,115.6 / ESE3.7,24.1,31.4,0,59,91,1012.4,1014.9
7.21,84.6 / E5.8,23,35.1,0,43,90,1009.5,1013.5
7.22,84.6 / E6.6,23.2,34.7,0,42,77,1008.5,1012.1
7.23,28.2 / NNE5.7,23.7,36.3,0,39,85,1006.8,1010.2
7.24,84.6 / E5.1,24.9,34.4,0,43,81,1005.9,1009
7.25,62.0 / ENE6.9,24.8,34.7,0,40,79,1004.2,1007.5
7.26,67.7 / ENE6.6,24.1,34.7,0,40,75,1002.1,1005.6
