지자체이름,날짜,요일한글,방문객한글,방문자수
전라북도,20210101,금요일,외지인(b),197561 
전라북도,20210102,토요일,외지인(b),216251 
전라북도,20210103,일요일,외지인(b),169883 
전라북도,20210104,월요일,외지인(b),123025 
전라북도,20210105,화요일,외지인(b),124005 
전라북도,20210106,수요일,외지인(b),122364 
전라북도,20210107,목요일,외지인(b),100254 
전라북도,20210108,금요일,외지인(b),118948 
전라북도,20210109,토요일,외지인(b),158148 
전라북도,20210110,일요일,외지인(b),151890 
전라북도,20210111,월요일,외지인(b),128916 
전라북도,20210112,화요일,외지인(b),133914 
전라북도,20210113,수요일,외지인(b),143511 
전라북도,20210114,목요일,외지인(b),154592 
전라북도,20210115,금요일,외지인(b),171535 
전라북도,20210116,토요일,외지인(b),223570 
전라북도,20210117,일요일,외지인(b),200680 
전라북도,20210118,월요일,외지인(b),135237 
전라북도,20210119,화요일,외지인(b),153150 
전라북도,20210120,수요일,외지인(b),164346 
전라북도,20210121,목요일,외지인(b),161861 
전라북도,20210122,금요일,외지인(b),180527 
전라북도,20210123,토요일,외지인(b),235127 
전라북도,20210124,일요일,외지인(b),229842 
전라북도,20210125,월요일,외지인(b),172620 
전라북도,20210126,화요일,외지인(b),166243 
전라북도,20210127,수요일,외지인(b),175665 
전라북도,20210128,목요일,외지인(b),165116 
전라북도,20210129,금요일,외지인(b),181416 
전라북도,20210130,토요일,외지인(b),246229 
전라북도,20210131,일요일,외지인(b),234483 
전라북도,20210201,월요일,외지인(b),118885 
전라북도,20210202,화요일,외지인(b),124509 
전라북도,20210203,수요일,외지인(b),128940 
전라북도,20210204,목요일,외지인(b),132605 
전라북도,20210205,금요일,외지인(b),157861 
전라북도,20210206,토요일,외지인(b),217228 
전라북도,20210207,일요일,외지인(b),199182 
전라북도,20210208,월요일,외지인(b),147956 
전라북도,20210209,화요일,외지인(b),164815 
전라북도,20210210,수요일,외지인(b),237780 
전라북도,20210211,목요일,외지인(b),422037 
전라북도,20210212,금요일,외지인(b),531283 
전라북도,20210213,토요일,외지인(b),438190 
전라북도,20210214,일요일,외지인(b),265902 
전라북도,20210215,월요일,외지인(b),168550 
전라북도,20210216,화요일,외지인(b),158211 
전라북도,20210217,수요일,외지인(b),148778 
전라북도,20210218,목요일,외지인(b),159117 
전라북도,20210219,금요일,외지인(b),196091 
전라북도,20210220,토요일,외지인(b),268548 
전라북도,20210221,일요일,외지인(b),260260 
전라북도,20210222,월요일,외지인(b),190617 
전라북도,20210223,화요일,외지인(b),191128 
전라북도,20210224,수요일,외지인(b),194730 
전라북도,20210225,목요일,외지인(b),191471 
전라북도,20210226,금요일,외지인(b),229527 
전라북도,20210227,토요일,외지인(b),357581 
전라북도,20210228,일요일,외지인(b),390926 
전라북도,20210301,월요일,외지인(b),215436 
전라북도,20210302,화요일,외지인(b),157633 
전라북도,20210303,수요일,외지인(b),166467 
전라북도,20210304,목요일,외지인(b),166562 
전라북도,20210305,금요일,외지인(b),189634 
전라북도,20210306,토요일,외지인(b),252602 
전라북도,20210307,일요일,외지인(b),236208 
전라북도,20210308,월요일,외지인(b),178332 
전라북도,20210309,화요일,외지인(b),187324 
전라북도,20210310,수요일,외지인(b),193330 
전라북도,20210311,목요일,외지인(b),193694 
전라북도,20210312,금요일,외지인(b),208079 
전라북도,20210313,토요일,외지인(b),295124 
전라북도,20210314,일요일,외지인(b),278915 
전라북도,20210315,월요일,외지인(b),200067 
전라북도,20210316,화요일,외지인(b),202125 
전라북도,20210317,수요일,외지인(b),205107 
전라북도,20210318,목요일,외지인(b),211463 
전라북도,20210319,금요일,외지인(b),236870 
전라북도,20210320,토요일,외지인(b),286052 
전라북도,20210321,일요일,외지인(b),278236 
전라북도,20210322,월요일,외지인(b),206136 
전라북도,20210323,화요일,외지인(b),211110 
전라북도,20210324,수요일,외지인(b),215481 
전라북도,20210325,목요일,외지인(b),225089 
전라북도,20210326,금요일,외지인(b),254496 
전라북도,20210327,토요일,외지인(b),304609 
전라북도,20210328,일요일,외지인(b),288404 
전라북도,20210329,월요일,외지인(b),224140 
전라북도,20210330,화요일,외지인(b),229660 
전라북도,20210331,수요일,외지인(b),235197 
전라북도,20210401,목요일,외지인(b),139713 
전라북도,20210402,금요일,외지인(b),181402 
전라북도,20210403,토요일,외지인(b),247055 
전라북도,20210404,일요일,외지인(b),229107 
전라북도,20210405,월요일,외지인(b),150934 
전라북도,20210406,화요일,외지인(b),149100 
전라북도,20210407,수요일,외지인(b),147914 
전라북도,20210408,목요일,외지인(b),155649 
전라북도,20210409,금요일,외지인(b),197869 
전라북도,20210410,토요일,외지인(b),320677 
전라북도,20210411,일요일,외지인(b),294431 
전라북도,20210412,월요일,외지인(b),146969 
전라북도,20210413,화요일,외지인(b),148656 
전라북도,20210414,수요일,외지인(b),159219 
전라북도,20210415,목요일,외지인(b),168343 
