도시이름,날짜,요일한글,방문객한글,방문자수
군산시,20210101,금요일,외지인(b),59262 
군산시,20210102,토요일,외지인(b),64026 
군산시,20210103,일요일,외지인(b),50187 
군산시,20210104,월요일,외지인(b),35308 
군산시,20210105,화요일,외지인(b),35046 
군산시,20210106,수요일,외지인(b),35798 
군산시,20210107,목요일,외지인(b),23664 
군산시,20210108,금요일,외지인(b),29925 
군산시,20210109,토요일,외지인(b),41374 
군산시,20210110,일요일,외지인(b),40355 
군산시,20210111,월요일,외지인(b),36575 
군산시,20210112,화요일,외지인(b),35501 
군산시,20210113,수요일,외지인(b),39365 
군산시,20210114,목요일,외지인(b),42532 
군산시,20210115,금요일,외지인(b),46211 
군산시,20210116,토요일,외지인(b),61894 
군산시,20210117,일요일,외지인(b),53841 
군산시,20210118,월요일,외지인(b),33408 
군산시,20210119,화요일,외지인(b),40772 
군산시,20210120,수요일,외지인(b),44303 
군산시,20210121,목요일,외지인(b),44055 
군산시,20210122,금요일,외지인(b),47509 
군산시,20210123,토요일,외지인(b),66164 
군산시,20210124,일요일,외지인(b),66367 
군산시,20210125,월요일,외지인(b),47936 
군산시,20210126,화요일,외지인(b),44800 
군산시,20210127,수요일,외지인(b),46802 
군산시,20210128,목요일,외지인(b),41622 
군산시,20210129,금요일,외지인(b),46267 
군산시,20210130,토요일,외지인(b),66416 
군산시,20210131,일요일,외지인(b),63599 
군산시,20210201,월요일,외지인(b),36838 
군산시,20210202,화요일,외지인(b),37125 
군산시,20210203,수요일,외지인(b),37727 
군산시,20210204,목요일,외지인(b),38763 
군산시,20210205,금요일,외지인(b),44412 
군산시,20210206,토요일,외지인(b),62584 
군산시,20210207,일요일,외지인(b),52924 
군산시,20210208,월요일,외지인(b),40968 
군산시,20210209,화요일,외지인(b),45392 
군산시,20210210,수요일,외지인(b),58632 
군산시,20210211,목요일,외지인(b),93324 
군산시,20210212,금요일,외지인(b),121314 
군산시,20210213,토요일,외지인(b),114499 
군산시,20210214,일요일,외지인(b),69370 
군산시,20210215,월요일,외지인(b),44741 
군산시,20210216,화요일,외지인(b),42235 
군산시,20210217,수요일,외지인(b),36512 
군산시,20210218,목요일,외지인(b),42298 
군산시,20210219,금요일,외지인(b),52066 
군산시,20210220,토요일,외지인(b),72240 
군산시,20210221,일요일,외지인(b),73178 
군산시,20210222,월요일,외지인(b),50719 
군산시,20210223,화요일,외지인(b),50673 
군산시,20210224,수요일,외지인(b),52672 
군산시,20210225,목요일,외지인(b),50351 
군산시,20210226,금요일,외지인(b),60512 
군산시,20210227,토요일,외지인(b),92775 
군산시,20210228,일요일,외지인(b),103509 
군산시,20210301,월요일,외지인(b),59672 
군산시,20210302,화요일,외지인(b),46211 
군산시,20210303,수요일,외지인(b),48948 
군산시,20210304,목요일,외지인(b),50264 
군산시,20210305,금요일,외지인(b),53480 
군산시,20210306,토요일,외지인(b),73196 
군산시,20210307,일요일,외지인(b),69255 
군산시,20210308,월요일,외지인(b),52042 
군산시,20210309,화요일,외지인(b),54576 
군산시,20210310,수요일,외지인(b),54541 
군산시,20210311,목요일,외지인(b),56935 
군산시,20210312,금요일,외지인(b),55346 
군산시,20210313,토요일,외지인(b),82079 
군산시,20210314,일요일,외지인(b),75478 
군산시,20210315,월요일,외지인(b),55402 
군산시,20210316,화요일,외지인(b),57614 
군산시,20210317,수요일,외지인(b),57547 
군산시,20210318,목요일,외지인(b),60018 
군산시,20210319,금요일,외지인(b),64666 
군산시,20210320,토요일,외지인(b),75485 
군산시,20210321,일요일,외지인(b),74557 
군산시,20210322,월요일,외지인(b),55612 
군산시,20210323,화요일,외지인(b),57152 
군산시,20210324,수요일,외지인(b),58272 
군산시,20210325,목요일,외지인(b),62979 
군산시,20210326,금요일,외지인(b),68660 
군산시,20210327,토요일,외지인(b),76566 
군산시,20210328,일요일,외지인(b),71736 
군산시,20210329,월요일,외지인(b),61110 
군산시,20210330,화요일,외지인(b),64015 
군산시,20210331,수요일,외지인(b),65597 
군산시,20210401,목요일,외지인(b),44468 
군산시,20210402,금요일,외지인(b),53494 
군산시,20210403,토요일,외지인(b),68863 
군산시,20210404,일요일,외지인(b),61803 
군산시,20210405,월요일,외지인(b),43432 
군산시,20210406,화요일,외지인(b),43551 
군산시,20210407,수요일,외지인(b),42735 
군산시,20210408,목요일,외지인(b),44160 
군산시,20210409,금요일,외지인(b),53263 
군산시,20210410,토요일,외지인(b),85540 
군산시,20210411,일요일,외지인(b),79174 
군산시,20210412,월요일,외지인(b),39242 
군산시,20210413,화요일,외지인(b),40180 
군산시,20210414,수요일,외지인(b),43568 
군산시,20210415,목요일,외지인(b),46739 
군산시,20210416,금요일,외지인(b),53883 
군산시,20210417,토요일,외지인(b),78498 
군산시,20210418,일요일,외지인(b),72482 
군산시,20210419,월요일,외지인(b),48661 
군산시,20210420,화요일,외지인(b),50365 
군산시,20210421,수요일,외지인(b),50887 
군산시,20210422,목요일,외지인(b),50715 
군산시,20210423,금요일,외지인(b),58758 
군산시,20210424,토요일,외지인(b),88662 
군산시,20210425,일요일,외지인(b),82135 
군산시,20210426,월요일,외지인(b),53060 
군산시,20210427,화요일,외지인(b),50358 
군산시,20210428,수요일,외지인(b),51184 
군산시,20210429,목요일,외지인(b),52546 
