도시이름,날짜,요일한글,방문객한글,방문자수
김제시,20210101,금요일,외지인(b),24406 
김제시,20210102,토요일,외지인(b),25995 
김제시,20210103,일요일,외지인(b),22351 
김제시,20210104,월요일,외지인(b),18893 
김제시,20210105,화요일,외지인(b),19936 
김제시,20210106,수요일,외지인(b),19107 
김제시,20210107,목요일,외지인(b),12478 
김제시,20210108,금요일,외지인(b),15799 
김제시,20210109,토요일,외지인(b),21032 
김제시,20210110,일요일,외지인(b),21189 
김제시,20210111,월요일,외지인(b),17966 
김제시,20210112,화요일,외지인(b),19691 
김제시,20210113,수요일,외지인(b),21732 
김제시,20210114,목요일,외지인(b),22995 
김제시,20210115,금요일,외지인(b),24584 
김제시,20210116,토요일,외지인(b),30377 
김제시,20210117,일요일,외지인(b),27850 
김제시,20210118,월요일,외지인(b),17444 
김제시,20210119,화요일,외지인(b),21592 
김제시,20210120,수요일,외지인(b),24126 
김제시,20210121,목요일,외지인(b),23069 
김제시,20210122,금요일,외지인(b),24185 
김제시,20210123,토요일,외지인(b),32792 
김제시,20210124,일요일,외지인(b),33345 
김제시,20210125,월요일,외지인(b),25050 
김제시,20210126,화요일,외지인(b),21903 
김제시,20210127,수요일,외지인(b),24430 
김제시,20210128,목요일,외지인(b),21735 
김제시,20210129,금요일,외지인(b),23170 
김제시,20210130,토요일,외지인(b),32431 
김제시,20210131,일요일,외지인(b),32085 
김제시,20210201,월요일,외지인(b),20153 
김제시,20210202,화요일,외지인(b),21263 
김제시,20210203,수요일,외지인(b),21767 
김제시,20210204,목요일,외지인(b),22554 
김제시,20210205,금요일,외지인(b),25225 
김제시,20210206,토요일,외지인(b),32001 
김제시,20210207,일요일,외지인(b),31073 
김제시,20210208,월요일,외지인(b),23737 
김제시,20210209,화요일,외지인(b),25834 
김제시,20210210,수요일,외지인(b),31409 
김제시,20210211,목요일,외지인(b),55153 
김제시,20210212,금요일,외지인(b),81298 
김제시,20210213,토요일,외지인(b),53834 
김제시,20210214,일요일,외지인(b),32949 
김제시,20210215,월요일,외지인(b),21532 
김제시,20210216,화요일,외지인(b),22533 
김제시,20210217,수요일,외지인(b),18183 
김제시,20210218,목요일,외지인(b),21312 
김제시,20210219,금요일,외지인(b),27391 
김제시,20210220,토요일,외지인(b),37268 
김제시,20210221,일요일,외지인(b),37629 
김제시,20210222,월요일,외지인(b),27797 
김제시,20210223,화요일,외지인(b),27951 
김제시,20210224,수요일,외지인(b),28077 
김제시,20210225,목요일,외지인(b),25673 
김제시,20210226,금요일,외지인(b),30671 
김제시,20210227,토요일,외지인(b),42599 
김제시,20210228,일요일,외지인(b),40485 
김제시,20210301,월요일,외지인(b),22946 
김제시,20210302,화요일,외지인(b),22061 
김제시,20210303,수요일,외지인(b),25246 
김제시,20210304,목요일,외지인(b),23821 
김제시,20210305,금요일,외지인(b),28102 
김제시,20210306,토요일,외지인(b),34850 
김제시,20210307,일요일,외지인(b),34055 
김제시,20210308,월요일,외지인(b),25988 
김제시,20210309,화요일,외지인(b),27020 
김제시,20210310,수요일,외지인(b),28161 
김제시,20210311,목요일,외지인(b),28795 
김제시,20210312,금요일,외지인(b),25711 
김제시,20210313,토요일,외지인(b),39501 
김제시,20210314,일요일,외지인(b),37671 
김제시,20210315,월요일,외지인(b),27773 
김제시,20210316,화요일,외지인(b),28025 
김제시,20210317,수요일,외지인(b),29166 
김제시,20210318,목요일,외지인(b),30583 
김제시,20210319,금요일,외지인(b),32435 
김제시,20210320,토요일,외지인(b),32438 
김제시,20210321,일요일,외지인(b),35375 
김제시,20210322,월요일,외지인(b),29551 
김제시,20210323,화요일,외지인(b),30352 
김제시,20210324,수요일,외지인(b),30723 
김제시,20210325,목요일,외지인(b),32190 
김제시,20210326,금요일,외지인(b),34479 
김제시,20210327,토요일,외지인(b),37174 
김제시,20210328,일요일,외지인(b),34545 
김제시,20210329,월요일,외지인(b),30202 
김제시,20210330,화요일,외지인(b),36929 
김제시,20210331,수요일,외지인(b),36365 
김제시,20210401,목요일,외지인(b),28060 
김제시,20210402,금요일,외지인(b),37366 
김제시,20210403,토요일,외지인(b),34150 
김제시,20210404,일요일,외지인(b),32942 
김제시,20210405,월요일,외지인(b),27451 
김제시,20210406,화요일,외지인(b),27083 
김제시,20210407,수요일,외지인(b),26618 
김제시,20210408,목요일,외지인(b),27006 
김제시,20210409,금요일,외지인(b),30891 
김제시,20210410,토요일,외지인(b),46627 
김제시,20210411,일요일,외지인(b),44216 
김제시,20210412,월요일,외지인(b),21301 
김제시,20210413,화요일,외지인(b),23996 
김제시,20210414,수요일,외지인(b),26548 
김제시,20210415,목요일,외지인(b),28235 
김제시,20210416,금요일,외지인(b),28539 
김제시,20210417,토요일,외지인(b),42399 
김제시,20210418,일요일,외지인(b),40642 
김제시,20210419,월요일,외지인(b),27391 
김제시,20210420,화요일,외지인(b),28119 
김제시,20210421,수요일,외지인(b),28427 
김제시,20210422,목요일,외지인(b),30062 
김제시,20210423,금요일,외지인(b),30524 
김제시,20210424,토요일,외지인(b),46575 
김제시,20210425,일요일,외지인(b),43992 
김제시,20210426,월요일,외지인(b),28676 
김제시,20210427,화요일,외지인(b),28928 
김제시,20210428,수요일,외지인(b),27825 
김제시,20210429,목요일,외지인(b),29050 
김제시,20210430,금요일,외지인(b),31871 
김제시,20210501,토요일,외지인(b),38787 
김제시,20210502,일요일,외지인(b),40061 
김제시,20210503,월요일,외지인(b),26418 
김제시,20210504,화요일,외지인(b),26418 
김제시,20210505,수요일,외지인(b),41965 
김제시,20210506,목요일,외지인(b),27972 
김제시,20210507,금요일,외지인(b),32498 
김제시,20210508,토요일,외지인(b),58618 
김제시,20210509,일요일,외지인(b),49396 
김제시,20210510,월요일,외지인(b),24115 
김제시,20210511,화요일,외지인(b),24196 
김제시,20210512,수요일,외지인(b),27934 
김제시,20210513,목요일,외지인(b),29446 
김제시,20210514,금요일,외지인(b),31511 
김제시,20210515,토요일,외지인(b),38269 
김제시,20210516,일요일,외지인(b),29729 
김제시,20210517,월요일,외지인(b),24451 
김제시,20210518,화요일,외지인(b),31346 
김제시,20210519,수요일,외지인(b),47933 
김제시,20210520,목요일,외지인(b),25337 
김제시,20210521,금요일,외지인(b),28735 
김제시,20210522,토요일,외지인(b),43638 
김제시,20210523,일요일,외지인(b),39284 
김제시,20210524,월요일,외지인(b),28417 
김제시,20210525,화요일,외지인(b),27241 
김제시,20210526,수요일,외지인(b),29113 
김제시,20210527,목요일,외지인(b),27010 
김제시,20210528,금요일,외지인(b),28742 
김제시,20210529,토요일,외지인(b),43936 
김제시,20210530,일요일,외지인(b),42378 
김제시,20210531,월요일,외지인(b),28249 
김제시,20210601,화요일,외지인(b),25491 
김제시,20210602,수요일,외지인(b),25529 
김제시,20210603,목요일,외지인(b),21613 
김제시,20210604,금요일,외지인(b),29253 
김제시,20210605,토요일,외지인(b),41990 
김제시,20210606,일요일,외지인(b),37233 
김제시,20210607,월요일,외지인(b),25816 
김제시,20210608,화요일,외지인(b),26439 
김제시,20210609,수요일,외지인(b),26901 
김제시,20210610,목요일,외지인(b),28130 
김제시,20210611,금요일,외지인(b),27615 
김제시,20210612,토요일,외지인(b),41759 
김제시,20210613,일요일,외지인(b),39239 
김제시,20210614,월요일,외지인(b),26401 
김제시,20210615,화요일,외지인(b),25641 
