도시이름,날짜,요일한글,방문객한글,방문자수
완주군,20210101,금요일,외지인(b),31294 
완주군,20210102,토요일,외지인(b),34601 
완주군,20210103,일요일,외지인(b),30538 
완주군,20210104,월요일,외지인(b),26663 
완주군,20210105,화요일,외지인(b),28039 
완주군,20210106,수요일,외지인(b),27906 
완주군,20210107,목요일,외지인(b),19523 
완주군,20210108,금요일,외지인(b),23671 
완주군,20210109,토요일,외지인(b),29631 
완주군,20210110,일요일,외지인(b),29330 
완주군,20210111,월요일,외지인(b),27157 
완주군,20210112,화요일,외지인(b),29302 
완주군,20210113,수요일,외지인(b),32221 
완주군,20210114,목요일,외지인(b),34643 
완주군,20210115,금요일,외지인(b),35175 
완주군,20210116,토요일,외지인(b),42476 
완주군,20210117,일요일,외지인(b),38787 
완주군,20210118,월요일,외지인(b),25694 
완주군,20210119,화요일,외지인(b),33044 
완주군,20210120,수요일,외지인(b),36152 
완주군,20210121,목요일,외지인(b),34892 
완주군,20210122,금요일,외지인(b),35798 
완주군,20210123,토요일,외지인(b),47506 
완주군,20210124,일요일,외지인(b),50281 
완주군,20210125,월요일,외지인(b),37457 
완주군,20210126,화요일,외지인(b),34461 
완주군,20210127,수요일,외지인(b),39162 
완주군,20210128,목요일,외지인(b),34860 
완주군,20210129,금요일,외지인(b),36313 
완주군,20210130,토요일,외지인(b),47530 
완주군,20210131,일요일,외지인(b),48136 
완주군,20210201,월요일,외지인(b),30244 
완주군,20210202,화요일,외지인(b),32228 
완주군,20210203,수요일,외지인(b),33877 
완주군,20210204,목요일,외지인(b),33863 
완주군,20210205,금요일,외지인(b),37842 
완주군,20210206,토요일,외지인(b),45731 
완주군,20210207,일요일,외지인(b),44401 
완주군,20210208,월요일,외지인(b),34846 
완주군,20210209,화요일,외지인(b),37947 
완주군,20210210,수요일,외지인(b),40996 
완주군,20210211,목요일,외지인(b),56504 
완주군,20210212,금요일,외지인(b),80598 
완주군,20210213,토요일,외지인(b),66542 
완주군,20210214,일요일,외지인(b),45227 
완주군,20210215,월요일,외지인(b),31147 
완주군,20210216,화요일,외지인(b),34125 
완주군,20210217,수요일,외지인(b),30601 
완주군,20210218,목요일,외지인(b),34556 
완주군,20210219,금요일,외지인(b),41384 
완주군,20210220,토요일,외지인(b),55097 
완주군,20210221,일요일,외지인(b),58405 
완주군,20210222,월요일,외지인(b),42000 
완주군,20210223,화요일,외지인(b),43033 
완주군,20210224,수요일,외지인(b),43043 
완주군,20210225,목요일,외지인(b),40544 
완주군,20210226,금요일,외지인(b),46781 
완주군,20210227,토요일,외지인(b),62706 
완주군,20210228,일요일,외지인(b),65265 
완주군,20210301,월요일,외지인(b),35312 
완주군,20210302,화요일,외지인(b),35305 
완주군,20210303,수요일,외지인(b),40187 
완주군,20210304,목요일,외지인(b),37846 
완주군,20210305,금요일,외지인(b),42910 
완주군,20210306,토요일,외지인(b),55290 
완주군,20210307,일요일,외지인(b),54264 
완주군,20210308,월요일,외지인(b),40625 
완주군,20210309,화요일,외지인(b),43911 
완주군,20210310,수요일,외지인(b),45693 
완주군,20210311,목요일,외지인(b),46001 
완주군,20210312,금요일,외지인(b),40758 
완주군,20210313,토요일,외지인(b),63305 
완주군,20210314,일요일,외지인(b),61201 
완주군,20210315,월요일,외지인(b),44800 
완주군,20210316,화요일,외지인(b),45238 
완주군,20210317,수요일,외지인(b),47579 
완주군,20210318,목요일,외지인(b),49137 
완주군,20210319,금요일,외지인(b),51727 
완주군,20210320,토요일,외지인(b),50089 
완주군,20210321,일요일,외지인(b),56392 
완주군,20210322,월요일,외지인(b),44405 
완주군,20210323,화요일,외지인(b),48542 
완주군,20210324,수요일,외지인(b),49392 
완주군,20210325,목요일,외지인(b),51279 
완주군,20210326,금요일,외지인(b),53589 
완주군,20210327,토요일,외지인(b),57131 
완주군,20210328,일요일,외지인(b),56529 
완주군,20210329,월요일,외지인(b),47425 
완주군,20210330,화요일,외지인(b),54180 
완주군,20210331,수요일,외지인(b),57687 
