도시이름,날짜,요일한글,방문객한글,방문자수
전주시 덕진구,20210101,금요일,외지인(b),56424 
전주시 덕진구,20210102,토요일,외지인(b),69759 
전주시 덕진구,20210103,일요일,외지인(b),54845 
전주시 덕진구,20210104,월요일,외지인(b),62927 
전주시 덕진구,20210105,화요일,외지인(b),63609 
전주시 덕진구,20210106,수요일,외지인(b),63623 
전주시 덕진구,20210107,목요일,외지인(b),52574 
전주시 덕진구,20210108,금요일,외지인(b),62829 
전주시 덕진구,20210109,토요일,외지인(b),68254 
전주시 덕진구,20210110,일요일,외지인(b),54915 
전주시 덕진구,20210111,월요일,외지인(b),66483 
전주시 덕진구,20210112,화요일,외지인(b),69643 
전주시 덕진구,20210113,수요일,외지인(b),73192 
전주시 덕진구,20210114,목요일,외지인(b),76440 
전주시 덕진구,20210115,금요일,외지인(b),80521 
전주시 덕진구,20210116,토요일,외지인(b),84672 
전주시 덕진구,20210117,일요일,외지인(b),67004 
전주시 덕진구,20210118,월요일,외지인(b),65478 
전주시 덕진구,20210119,화요일,외지인(b),77326 
전주시 덕진구,20210120,수요일,외지인(b),80560 
전주시 덕진구,20210121,목요일,외지인(b),79744 
전주시 덕진구,20210122,금요일,외지인(b),87045 
전주시 덕진구,20210123,토요일,외지인(b),91368 
전주시 덕진구,20210124,일요일,외지인(b),77427 
전주시 덕진구,20210125,월요일,외지인(b),81974 
전주시 덕진구,20210126,화요일,외지인(b),80535 
전주시 덕진구,20210127,수요일,외지인(b),85260 
전주시 덕진구,20210128,목요일,외지인(b),79639 
전주시 덕진구,20210129,금요일,외지인(b),85757 
전주시 덕진구,20210130,토요일,외지인(b),93615 
전주시 덕진구,20210131,일요일,외지인(b),79947 
전주시 덕진구,20210201,월요일,외지인(b),65314 
전주시 덕진구,20210202,화요일,외지인(b),68187 
전주시 덕진구,20210203,수요일,외지인(b),69507 
전주시 덕진구,20210204,목요일,외지인(b),71572 
전주시 덕진구,20210205,금요일,외지인(b),80693 
전주시 덕진구,20210206,토요일,외지인(b),85498 
전주시 덕진구,20210207,일요일,외지인(b),72188 
전주시 덕진구,20210208,월요일,외지인(b),76885 
전주시 덕진구,20210209,화요일,외지인(b),81386 
전주시 덕진구,20210210,수요일,외지인(b),93849 
전주시 덕진구,20210211,목요일,외지인(b),99379 
전주시 덕진구,20210212,금요일,외지인(b),115301 
전주시 덕진구,20210213,토요일,외지인(b),101994 
전주시 덕진구,20210214,일요일,외지인(b),78628 
전주시 덕진구,20210215,월요일,외지인(b),78890 
전주시 덕진구,20210216,화요일,외지인(b),78663 
전주시 덕진구,20210217,수요일,외지인(b),73983 
전주시 덕진구,20210218,목요일,외지인(b),81459 
전주시 덕진구,20210219,금요일,외지인(b),92281 
전주시 덕진구,20210220,토요일,외지인(b),106694 
전주시 덕진구,20210221,일요일,외지인(b),91662 
전주시 덕진구,20210222,월요일,외지인(b),93860 
전주시 덕진구,20210223,화요일,외지인(b),90216 
전주시 덕진구,20210224,수요일,외지인(b),91886 
전주시 덕진구,20210225,목요일,외지인(b),90549 
전주시 덕진구,20210226,금요일,외지인(b),102610 
전주시 덕진구,20210227,토요일,외지인(b),121622 
전주시 덕진구,20210228,일요일,외지인(b),108238 
전주시 덕진구,20210301,월요일,외지인(b),70357 
전주시 덕진구,20210302,화요일,외지인(b),78757 
전주시 덕진구,20210303,수요일,외지인(b),80896 
전주시 덕진구,20210304,목요일,외지인(b),82103 
전주시 덕진구,20210305,금요일,외지인(b),92285 
전주시 덕진구,20210306,토요일,외지인(b),101700 
전주시 덕진구,20210307,일요일,외지인(b),83514 
전주시 덕진구,20210308,월요일,외지인(b),84924 
