도시이름,날짜,요일한글,방문객한글,방문자수
정읍시,20210101,금요일,외지인(b),24892 
정읍시,20210102,토요일,외지인(b),26044 
정읍시,20210103,일요일,외지인(b),20517 
정읍시,20210104,월요일,외지인(b),17462 
정읍시,20210105,화요일,외지인(b),17472 
정읍시,20210106,수요일,외지인(b),16758 
정읍시,20210107,목요일,외지인(b),10588 
정읍시,20210108,금요일,외지인(b),14028 
정읍시,20210109,토요일,외지인(b),18921 
정읍시,20210110,일요일,외지인(b),17605 
정읍시,20210111,월요일,외지인(b),16408 
정읍시,20210112,화요일,외지인(b),17119 
정읍시,20210113,수요일,외지인(b),18659 
정읍시,20210114,목요일,외지인(b),19828 
정읍시,20210115,금요일,외지인(b),21133 
정읍시,20210116,토요일,외지인(b),26327 
정읍시,20210117,일요일,외지인(b),22712 
정읍시,20210118,월요일,외지인(b),15477 
정읍시,20210119,화요일,외지인(b),19488 
정읍시,20210120,수요일,외지인(b),21277 
정읍시,20210121,목요일,외지인(b),21438 
정읍시,20210122,금요일,외지인(b),22495 
정읍시,20210123,토요일,외지인(b),26933 
정읍시,20210124,일요일,외지인(b),26488 
정읍시,20210125,월요일,외지인(b),22050 
정읍시,20210126,화요일,외지인(b),20111 
정읍시,20210127,수요일,외지인(b),22558 
정읍시,20210128,목요일,외지인(b),20129 
정읍시,20210129,금요일,외지인(b),20580 
정읍시,20210130,토요일,외지인(b),27752 
정읍시,20210131,일요일,외지인(b),25785 
정읍시,20210201,월요일,외지인(b),17364 
정읍시,20210202,화요일,외지인(b),17994 
정읍시,20210203,수요일,외지인(b),17990 
정읍시,20210204,목요일,외지인(b),18638 
정읍시,20210205,금요일,외지인(b),21242 
정읍시,20210206,토요일,외지인(b),26877 
정읍시,20210207,일요일,외지인(b),24556 
정읍시,20210208,월요일,외지인(b),20682 
정읍시,20210209,화요일,외지인(b),21837 
정읍시,20210210,수요일,외지인(b),29400 
정읍시,20210211,목요일,외지인(b),51643 
정읍시,20210212,금요일,외지인(b),69741 
정읍시,20210213,토요일,외지인(b),48643 
정읍시,20210214,일요일,외지인(b),28238 
정읍시,20210215,월요일,외지인(b),20507 
정읍시,20210216,화요일,외지인(b),20220 
정읍시,20210217,수요일,외지인(b),15614 
정읍시,20210218,목요일,외지인(b),18165 
정읍시,20210219,금요일,외지인(b),23195 
정읍시,20210220,토요일,외지인(b),30135 
정읍시,20210221,일요일,외지인(b),28259 
정읍시,20210222,월요일,외지인(b),23972 
정읍시,20210223,화요일,외지인(b),23888 
정읍시,20210224,수요일,외지인(b),24350 
정읍시,20210225,목요일,외지인(b),23328 
정읍시,20210226,금요일,외지인(b),26716 
정읍시,20210227,토요일,외지인(b),37230 
정읍시,20210228,일요일,외지인(b),36239 
정읍시,20210301,월요일,외지인(b),20836 
정읍시,20210302,화요일,외지인(b),19705 
정읍시,20210303,수요일,외지인(b),21508 
정읍시,20210304,목요일,외지인(b),20538 
정읍시,20210305,금요일,외지인(b),23730 
정읍시,20210306,토요일,외지인(b),29323 
정읍시,20210307,일요일,외지인(b),26695 
정읍시,20210308,월요일,외지인(b),22260 
정읍시,20210309,화요일,외지인(b),23328 
정읍시,20210310,수요일,외지인(b),23975 
정읍시,20210311,목요일,외지인(b),23853 
정읍시,20210312,금요일,외지인(b),23961 
정읍시,20210313,토요일,외지인(b),33037 
정읍시,20210314,일요일,외지인(b),29729 
정읍시,20210315,월요일,외지인(b),24287 
정읍시,20210316,화요일,외지인(b),24500 
정읍시,20210317,수요일,외지인(b),24945 
정읍시,20210318,목요일,외지인(b),25172 
정읍시,20210319,금요일,외지인(b),27563 
정읍시,20210320,토요일,외지인(b),30030 
정읍시,20210321,일요일,외지인(b),29964 
정읍시,20210322,월요일,외지인(b),24917 
정읍시,20210323,화요일,외지인(b),26506 
정읍시,20210324,수요일,외지인(b),26198 
정읍시,20210325,목요일,외지인(b),27048 
정읍시,20210326,금요일,외지인(b),29817 
정읍시,20210327,토요일,외지인(b),33530 
정읍시,20210328,일요일,외지인(b),32599 
정읍시,20210329,월요일,외지인(b),26726 
정읍시,20210330,화요일,외지인(b),28588 
정읍시,20210331,수요일,외지인(b),29316 
정읍시,20210401,목요일,외지인(b),22680 
정읍시,20210402,금요일,외지인(b),26653 
정읍시,20210403,토요일,외지인(b),31854 
정읍시,20210404,일요일,외지인(b),29012 
정읍시,20210405,월요일,외지인(b),23961 
정읍시,20210406,화요일,외지인(b),22425 
정읍시,20210407,수요일,외지인(b),21945 
정읍시,20210408,목요일,외지인(b),23107 
정읍시,20210409,금요일,외지인(b),26474 
정읍시,20210410,토요일,외지인(b),38752 
정읍시,20210411,일요일,외지인(b),34601 
정읍시,20210412,월요일,외지인(b),19457 
정읍시,20210413,화요일,외지인(b),20580 
정읍시,20210414,수요일,외지인(b),22400 
정읍시,20210415,목요일,외지인(b),23786 
정읍시,20210416,금요일,외지인(b),24829 
정읍시,20210417,토요일,외지인(b),34580 
정읍시,20210418,일요일,외지인(b),31714 
